County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Autauga County,23896,4.53481146439327,11.1824266886781,1.6,1.64469917828807,35,33.6035246861434
Baldwin County,119412,3.94425490629775,9.69519447782038,1.1,1.14652292176629,31,30.4410322303887
Barbour County,12080,2.26862216317268,16.2573148274839,0.6,1.76623317429341,2,2.1354449262638
Bibb County,9261,11.4396328357709,20.2598486103081,3.4,2.51899628008949,4,5.32671881220588
Blount County,24517,7.68884102159371,17.7629939890477,2.8,2.62568556687056,44,43.600314411488
Bullock County,4587,NA,14.4350963025894,NA,1.76458496085208,NA,1.89140691969002
Butler County,10147,3.6057038943371,10.6481014793545,0.9,1.1878937750743,1,1.70681472544604
Calhoun County,53796,6.59168447799933,16.0293435506407,2.8,2.77914365054098,238,236.52535201801
Chambers County,17009,2.25213451585609,17.2050018043762,0.6,1.91316413706481,3,3.81225961747241
Cherokee County,16715,5.15697020948574,16.7764445998163,1.6,2.16886007945253,10,11.6802687897828
Chilton County,20056,8.22682390278651,17.564990610886,2.7,2.34311928689314,18,17.9349576503683
Choctaw County,7413,3.09599520009739,14.6159281738251,0.8,1.59923291293709,1,1.29352170721009
Clarke County,12857,1.64365585756161,12.9997550048011,0.4,1.38690638261491,1,1.71582917891241
Clay County,6833,6.50628575971894,15.2831732999088,2.9,2.77165479824493,39,37.1163080507244
Cleburne County,6891,5.19852621386133,12.7214128965222,2.6,2.62201423135165,69,66.3161338760834
Coffee County,23403,8.97780070559346,17.4673761682171,2.5,1.96796209708622,6,5.74319759352054
Colbert County,26861,7.89225131576891,19.4327831194873,5.3,5.27132600888732,871,868.708465503712
Conecuh County,7223,2.13461257151779,8.75592598052323,0.6,1.02870649984837,2,1.6286946142054
Coosa County,6635,4.58815746841781,13.624010083138,1.6,1.97694647716945,9,9.47408496161458
Covington County,19068,2.38756508855461,11.5548661560703,0.6,1.25516978814635,2,2.77268674083065
Crenshaw County,6862,4.22009578509217,12.4253315226598,1.1,1.43216275029643,1,1.69273544216138
Cullman County,38252,5.37005411162748,13.5963511510286,2,2.0927437467627,79,79.0439813909445
Dale County,23201,9.16756407856214,20.7998641333817,2.1,2.13200699861307,1,2.6970813988744
Dallas County,20460,3.5327543789925,14.3250836883293,1,1.67503909809391,6,6.18552618266761
DeKalb County,31593,8.26795405982171,19.8083302188816,3.1,3.00059499006849,68,67.9764037729693
Elmore County,34475,7.15488425779344,16.2053922333258,2.4,2.21841628654616,36,35.5964489558228
Escambia County,16645,4.70430456459445,9.89319468053587,1.2,1.09637957224247,2,2.43152466697989
Etowah County,47855,8.50204395132237,20.2091830507941,2.9,2.7899275032013,56,57.2001249243887
Fayette County,8540,3.99347066252753,18.6879938977361,1.1,2.1738272558647,2,2.8759652076693
Franklin County,14126,5.03404711084991,12.2294158152497,2.7,2.72499801029006,193,191.521255221429
Geneva County,12955,5.46154786077732,16.0709848754832,1.6,1.88186329413365,5,4.20722584650715
Greene County,5177,0.742815632996371,19.8714105223925,0.2,2.23487942563618,1,1.35309973157955
Hale County,7880,9.55853651771553,20.2209092933702,3.3,2.73142443143766,10,8.03340728386561
Henry County,9255,8.32939048848674,20.8059101399623,2.1,2.19305983823512,1,1.35233943263637
Houston County,48134,17.8425430066225,34.2314700906285,5,3.75773877139278,13,11.7939214397557
Jackson County,25194,5.3377798811309,12.9618866573867,2.6,2.61667570403181,223,221.924368297663
Jefferson County,309697,4.80879010416522,11.5501912180815,1.9,1.90677278272209,912,910.652190846154
Lamar County,7431,23.5367083438383,31.8898097893309,7.2,3.74374266576309,4,2.93887663426007
Lauderdale County,45611,4.8431538382794,11.6017032359471,3.5,3.50230589359621,1885,1883.83258851616
Lawrence County,15363,7.3961346459551,17.7016599045356,3.7,3.59434738237855,154,153.725230013843
Lee County,71225,5.88829487806573,14.158026398205,2,1.97638368320796,81,79.175462725949
Limestone County,36526,3.98806710195922,9.44024036770925,2.3,2.3162238669358,674,674.10455927975
Lowndes County,5274,3.07899911681409,11.0867077738952,0.9,1.37124323495564,2,2.11113432405725
Macon County,10321,5.50706268350113,13.2001932014581,1.8,1.77194158813419,9,8.4572076977503
Madison County,166516,6.02917569497057,14.6657346612138,4,3.995647403074,5178,5174.51585423206
Marengo County,10397,34.5576658492653,27.9125089690622,9.3,2.82686410262085,2,1.21276417456631
Marion County,14806,4.71324615183605,13.5817450160511,1.7,2.00670081188781,25,23.8402348229809
Marshall County,40791,5.31693593447582,13.1035820464947,2.3,2.34599385683256,199,197.765038788754
Mobile County,185035,4.97175075714498,11.7240197834379,1.4,1.37984040833644,52,51.6174293458255
Monroe County,11471,0.751714256819755,10.0943018050943,0.2,1.12769350966084,2,1.86970407671198
Montgomery County,105317,4.51449188226018,11.0796312952749,1.5,1.54051518228084,103,101.476912138525
Morgan County,52398,5.98332787473493,14.5489532399036,2.9,2.89717686053521,453,452.613287661285
Perry County,4750,11.7654195507996,20.6059072564816,3.2,2.3977475397751,1,1.6195667584213
Pickens County,9647,3.31502605457426,19.4644888543358,0.9,2.18618306033214,2,2.47816158672116
Pike County,16273,10.7488428794994,18.8150546522706,3.3,2.2857446042316,9,7.35826006952927
Randolph County,12157,13.0893082093879,25.7887896514425,4.5,3.53763489706159,15,14.7090915511076
Russell County,28118,3.97186317187514,14.1259393692386,1,1.52766115456427,3,4.4821451869034
St. Clair County,37258,5.46574683860988,13.4831319016761,2.1,2.14106001706026,93,93.155950335752
Shelby County,89133,4.51882641528764,10.8712235753453,1.9,1.91788441102972,373,370.116859613503
Sumter County,6929,8.14117330103968,18.0211449574801,2.3,2.03259894774061,2,1.77589460427863
Talladega County,38092,6.21853022623962,15.0075980750263,2.5,2.47469436970282,124,124.185476490546
Tallapoosa County,22664,5.04194652617033,14.7264000655136,1.6,1.93591499077973,16,16.7320339417907
Tuscaloosa County,92792,7.32887203930037,17.9167655451227,2.4,2.37504801336504,82,80.8669228870855
Walker County,31352,7.63640018025304,17.8370521001955,2.3,2.21635493501067,15,16.9026974622735
Washington County,8634,4.00098246359074,10.2881511760501,1.2,1.26948377388923,4,3.26503595520932
Wilcox County,5840,NA,13.6104986549119,NA,1.51447652995679,NA,1.12288210487287
Winston County,13765,6.11918993936345,16.0426615479134,2,2.19050975529348,12,13.899155443584
