County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Aleutians East Borough,755,NA,39.6078266209968,NA,5.47856615551557,NA,1.0412614550032
Aleutians West Census Area,1966,NA,NA,NA,NA,NA,NA
Anchorage Municipality,119276,3.91217487571462,9.20532485375609,1.6,1.60377891378431,428,424.967888948523
Bethel Census Area,6034,NA,36.0178548535617,NA,5.21632569159745,NA,10.5723806318925
Bristol Bay Borough,977,NA,41.4846528463986,NA,6.06739456595076,NA,1.44358512632962
Denali Borough,1765,NA,32.0024573198716,NA,5.07157971709247,NA,5.53061968175081
Dillingham Census Area,2456,NA,36.1798249107183,NA,5.1933593878911,NA,3.78659545091721
Fairbanks North Star Borough,44305,17.6625984468809,44.934852013705,7.8,7.7923010975404,241,239.320574862723
Haines Borough,1687,NA,2.7842792524539,NA,0.429079329135003,NA,0.63628737553706
Hoonah-Angoon Census Area,1768,NA,1.81292373489999,NA,0.319442799130588,NA,0.681586788733694
Juneau City and Borough,13852,1.68168061624689,3.14906978832979,0.5,0.475219781530066,6,5.66545211794805
Kenai Peninsula Borough,31439,30.8208830775176,72.4228000797972,10.3,9.5252986524206,32,33.5547029305596
Ketchikan Gateway Borough,6458,NA,0.634678662207459,NA,0.181824384000104,NA,2.11541082559354
Kodiak Island Borough,5501,8.29441310478514,22.9739774499695,2.8,3.13018496126643,6,5.94808947137263
Kusilvak Census Area,2237,NA,29.8923859440654,NA,4.52644759293666,NA,5.21287562597507
Lake and Peninsula Borough,1511,NA,38.4260845478915,NA,5.2834421855781,NA,2.07608242653394
Matanuska-Susitna Borough,42120,8.61844875476731,21.5284335944768,3.3,3.30870743566817,103,101.441932134286
Nome Census Area,4100,NA,28.3399478908532,NA,4.35221506050984,NA,10.3250918784594
North Slope Borough,2631,NA,28.9387538429541,NA,4.44908046737647,NA,7.38701788205263
Northwest Arctic Borough,2756,NA,29.5918908793485,NA,4.59475041833438,NA,7.15513290531881
Petersburg Borough,1712,NA,1.01738349568749,NA,0.225040051501574,NA,0.581154365199315
Prince of Wales-Hyder Census Area,3446,NA,0.578345228726813,NA,0.178132682808259,NA,1.1245408682343
Sitka City and Borough,4252,0.362859325585126,0,0.1,0.111389746859243,1,1.25314064554946
Skagway Municipality,719,NA,2.86417948559087,NA,0.435627753424815,NA,0.269244394326427
Southeast Fairbanks Census Area,3904,13.4758510067722,31.8872773935198,5.2,4.86785160807194,10,9.7667825378955
Valdez-Cordova Census Area,6207,2.32103234346601,7.99708591786859,0.7,1.12246226587571,3,5.18531993066985
Wrangell City and Borough,1464,NA,0.74387076723387,NA,0.192988985976845,NA,0.467005324872663
Yakutat City and Borough,471,NA,4.20062703417529,NA,0.621305448851915,NA,0.276302614911004
Yukon-Koyukuk Census Area,4085,NA,30.8723274910501,NA,4.79252456413611,NA,11.1085792820134
