County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Alameda County,622922,4.98400923631194,11.9677218435709,1.6,1.60064044045444,478,477.33643734228
Alpine County,1782,12.8190016418622,30.3550132203109,6.5,5.91458998112258,19,16.2893078393603
Amador County,18625,18.4537977084407,43.1008011083977,6.8,6.22778567801338,36,35.2254091881177
Butte County,86209,5.7655237572341,14.6546594810147,1.7,1.7695202651529,35,34.1470920348794
Calaveras County,28181,9.04728019699399,22.9921582717993,3.1,3.16297415190194,34,33.7483061338985
Colusa County,8125,0.781964673930182,12.9463698087103,0.2,1.44457574763565,1,1.6473449126843
Contra Costa County,418707,4.75059804230555,11.3730458980809,1.5,1.50035540422665,285,283.63372784597
Del Norte County,11434,0.405819818787825,19.2341013636441,0.1,1.96561622677673,1,1.26227570160679
El Dorado County,91660,10.3501600893624,25.8332269789169,4.1,4.08244862117698,274,273.697379380172
Fresno County,336473,7.75929048477781,19.490905060765,2.2,2.23877106162012,100,100.662232295715
Glenn County,11098,10.4838012294797,18.0895166014936,2.8,2.02179405535705,2,2.46184384959608
Humboldt County,63727,18.2171260883745,40.2073236344569,5.2,4.50140023159028,20,19.1369425318253
Imperial County,58280,4.0965395437337,9.09641028852927,1.1,1.04725179706603,11,11.2646872177728
Inyo County,9609,18.7212310408546,39.7217275568528,6.6,5.40405431788459,14,12.0815995304318
Kern County,302898,15.6331507629794,38.0926453181077,4.6,4.42924212949715,121,121.847439799619
Kings County,46965,7.43026536271465,19.7534153389456,1.7,1.99166044381323,2,4.49632868074321
Lake County,34572,6.63287785149451,14.9739298003755,2.1,1.93806984579047,24,22.9197256142239
Lassen County,12784,3.15414609357776,16.3036599205009,0.9,1.89947981449097,4,4.09680442512427
Los Angeles County,3579329,6.04264200523979,14.7156701227168,1.9,1.89979945555697,2363,2361.11935763101
Madera County,51438,6.99557134554987,17.8947437378569,2.2,2.28089924312801,34,33.2975929518476
Marin County,113344,3.99967740885065,9.33461898898917,1.3,1.29191520704797,95,94.8446218901321
Mariposa County,10445,7.45374154604517,17.9123838320935,2.3,2.23262713051276,6,5.51870358154981
Mendocino County,41027,3.21450936861389,11.0152133641244,0.9,1.29598403045621,11,10.9966665932123
Merced County,86388,10.1699601966616,21.853738556586,2.4,2.18225474918938,5,8.09223274656781
Modoc County,5276,NA,22.8441180437439,NA,2.63763374139074,NA,1.58709833706575
Mono County,14208,22.2417230316102,49.0955284491932,7.8,6.7518235133677,20,19.4239064977108
Monterey County,143201,6.11121091643812,14.9413835433288,1.9,1.9039102652617,87,86.3877259020794
Napa County,55647,6.27809049055799,14.804917099449,2.1,2.02812650545149,57,55.8940400070277
Nevada County,54809,17.1967011249099,43.085376360381,7.4,7.28124324037206,260,257.369995643571
Orange County,1118110,5.121010892271,12.2960923355784,1.5,1.49740279570078,431,431.113421656268
Placer County,168919,4.44142730594255,10.6576478368591,1.6,1.61580849765498,283,282.001195017205
Plumas County,15916,13.8221502515541,30.0380226033601,4.8,4.06309517504532,21,18.1967442847394
Riverside County,857148,2.86315790158485,6.49959275346692,0.8,0.806288135902352,226,225.785844595672
Sacramento County,578937,5.21224436457925,12.7871767072339,1.5,1.52711508910124,194,195.832143999802
San Benito County,19979,3.02182014593261,8.76309742816837,1,1.23015427338318,19,17.3922787197869
San Bernardino County,731400,4.33648194443176,10.4340532630497,1.2,1.2182184980501,178,178.973449089327
San Diego County,1233777,2.92601751789048,6.61482320666039,0.9,0.900772191299385,692,691.351172741813
San Francisco County,406413,3.21803248424425,7.41381120823921,1,1.00576938531934,246,246.345526439667
San Joaquin County,248636,8.81583072653545,21.7153376639117,2.5,2.47862436567042,74,75.2129039545454
San Luis Obispo County,123963,5.74236376373371,14.3081228463718,1.8,1.84189170470946,80,79.374766997957
San Mateo County,280450,5.55521918254282,13.4667997207603,2,2.00140380390772,468,466.612891207537
Santa Barbara County,159246,10.5689243898103,26.3719392645492,4.1,4.07867982054338,421,419.171705767869
Santa Clara County,686266,5.87443859129954,14.2718004290644,2,1.99821568149695,793,791.071460973398
Santa Cruz County,107149,7.5219970578601,18.2933711647151,2.5,2.46729575440364,105,104.86576420426
Shasta County,78618,12.721658959393,29.7866612695577,3.6,3.35065698266144,23,23.0957156043735
Sierra County,2368,4.04925803766106,18.4214857817198,1.2,2.32719127666163,1,1.453992635046
Siskiyou County,24226,7.65862179696601,20.7029466323853,2.2,2.39321729106118,8,7.56607359394487
Solano County,159806,6.52285707206606,15.2657709315502,1.8,1.73537406140425,38,39.019416066551
Sonoma County,208305,2.56114271912191,5.84029199918339,0.8,0.82218973088307,131,130.465718279523
Stanislaus County,182978,7.66207022433457,19.2857125735481,2,2.06196278127931,27,29.8742010145616
Sutter County,34583,11.4506703364433,21.6020051715265,3.1,2.39021272665014,7,7.74353813050165
Tehama County,27840,7.69968775916525,19.2297115715914,2.1,2.15552553666307,6,6.74866447488726
Trinity County,9013,NA,22.9118874302191,NA,2.58821448296766,NA,2.47445586134592
Tulare County,151603,9.83285342531111,24.6435005812328,3,3.00426845086616,80,79.2225438878518
Tuolumne County,31700,8.158665381709,20.470192368785,3.1,3.12465788203645,74,72.0553809466459
Ventura County,291512,5.58526209704222,13.5916786931902,1.9,1.90758869917682,335,334.500083056475
Yolo County,79263,3.53961219524765,8.82939766459243,1.1,1.17226207307354,48,46.6946457728297
Yuba County,29049,1.80901657327933,16.1062810070978,0.5,1.82833320087264,7,7.67705038247387
