County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Alachua County,120226,9.07474208399752,22.563562446156,5.2,5.19045572602006,2162,2160.10811993302
Baker County,10215,4.00923837096847,11.2655296406844,1,1.2790148583279,1,2.0671189730276
Bay County,104768,6.86899560733183,15.7437186450735,1.8,1.6963253138659,16,16.6128349095098
Bradford County,11054,5.68573407504655,13.5767948022021,1.7,1.70070634427245,5,5.46297267179399
Brevard County,282833,2.78054493119381,6.22543768982454,1.1,1.09944543279762,839,837.501120988557
Broward County,828521,5.27237945822347,12.7125572295098,1.7,1.70024891887554,656,655.512065019782
Calhoun County,5962,NA,9.06480605592831,NA,1.43080796897294,NA,9.25081920720004
Charlotte County,107124,8.46111529883657,20.6509976937057,3,2.95234857302447,162,162.318087010598
Citrus County,80895,7.01585732848315,17.2425998447771,2.6,2.60027823726732,162,161.681753143023
Clay County,82617,5.68854653559621,13.1218645034117,1.6,1.5284575548806,23,23.2841569017482
Collier County,222284,3.63734367002706,8.45666959501715,3.5,3.50032002721572,20308,20307.0544463662
Columbia County,29300,4.48461954845167,11.0351652313613,1.5,1.54814739070666,30,29.8190687429464
DeSoto County,15351,2.27963174212479,5.30245533660281,0.9,0.954195244346575,45,43.8401205459017
Dixie County,9536,21.4885777089393,27.8863310723431,5.4,2.89450194908611,1,1.31259144814238
Duval County,418708,3.82287102781529,8.93914829995756,1.3,1.30017954951302,480,479.286597791209
Escambia County,143228,3.34311457094349,7.6852974151708,1,0.999515693005367,65,64.5495637376981
Flagler County,53833,5.11324393211294,11.6264802426217,1.5,1.42676057120505,21,21.232353361592
Franklin County,8840,1.04079930308802,6.03077509472166,0.3,0.78189779339117,3,3.27395661638251
Gadsden County,21728,3.27252557270302,7.53682942329134,1.5,1.50322320163373,143,141.918457248747
Gilchrist County,7675,1.73104703048953,7.41776276163753,0.6,1.10316979017212,10,9.02897230509797
Glades County,7133,4.72661135702143,11.441657490143,1.4,1.47814994547784,3,3.96212020774241
Gulf County,9736,NA,9.78740077215504,NA,1.27602789600255,NA,5.10618194984567
Hamilton County,5845,NA,8.73947740099789,NA,1.27419303423833,NA,6.14448227695962
