County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Ada County,192630,5.77050014762833,14.022189528317,3.2,3.20146697841216,3030,3027.17262205942
Adams County,2705,18.0494918531573,41.6849569663139,9.3,8.46176429371794,31,30.8032734476717
Bannock County,34852,10.0662997458219,25.1949892663201,6,5.99902983739937,732,729.949368755082
Bear Lake County,4204,19.2784658342303,46.7258705669506,9.1,8.76965783153172,32,33.8496649152995
Benewah County,4790,7.54098755275306,19.924924656804,3.4,3.70970280520644,29,31.9580136043172
Bingham County,17003,9.80338231586492,24.6454474283248,6.2,6.22413929920102,446,443.1132712778
Blaine County,15600,15.4778701878375,39.0951914836335,9.4,9.31740447751435,352,345.914690342327
Boise County,5697,6.77354196803872,17.17430906797,3.4,3.52493153910958,58,58.8003880340714
Bonner County,25360,9.48822108402412,23.7745014703452,5,5.02173735198389,321,321.967557556199
Bonneville County,44564,6.88400326750227,16.942249486814,4.3,4.30909380430472,1117,1117.59142724422
Boundary County,5591,7.12054172684332,17.6402192150865,3.4,3.42968001712011,45,45.1612425653552
Butte County,1381,36.5759458388169,81.4268442992605,21.8,18.7143168541962,29,27.6811332495536
Camas County,875,6.27203071395149,19.2665608074588,3.3,4.11005517382283,11,10.9764388493466
Canyon County,80055,4.73633614741743,11.3150891168518,2.2,2.19980625022888,563,564.540350889273
Caribou County,3333,8.65810624414139,21.7505131728608,4.9,4.95908590192143,57,57.0575053024003
Cassia County,8925,14.9425828357422,36.8767856869891,8,7.78434145075787,121,119.639566944208
Clark County,562,29.8527009069513,58.7385451965226,13.9,11.8719255738678,4,6.41715986220931
Clearwater County,4668,6.02172734098725,16.1481344440234,2.8,3.07163053705708,33,33.3999397804455
Custer County,3161,17.8317950036552,43.3177073833987,9,8.7494022327683,33,35.5654468212434
Elmore County,12577,16.1578197786794,39.6992699979015,8.5,8.22394227731078,158,157.064897454999
Franklin County,4946,8.1863678188511,20.8177449233726,4.5,4.60734590303097,75,74.2830588137525
Fremont County,9186,14.8869185114744,37.8641117102671,7.6,7.70257047748783,101,105.113088435791
Gem County,7507,5.07554429742586,12.5274488006238,2.7,2.75310746775881,99,96.6628931114934
Gooding County,6290,7.49578820242888,18.7116817841509,3.8,3.83374171005801,67,66.6517874381268
Idaho County,8783,13.1300424638645,32.5031494847884,6.6,6.46353748778254,90,88.8952108797581
Jefferson County,9768,14.0602165660312,35.8310246195441,8.4,8.44486628531545,207,205.497548634759
Jerome County,8664,4.88705170004114,12.3288582552313,2.3,2.4255781475693,65,66.9306347317458
Kootenai County,74624,18.7911019251408,47.8715453089117,13.4,13.3818196967132,2955,2948.32198081318
Latah County,17364,6.80974310976624,16.9111820260204,3.3,3.33273025073451,150,149.194333911541
Lemhi County,4948,13.1616933462952,33.7859914857521,8,8.04253295401801,112,107.657016825987
Lewis County,1991,9.32740403568194,22.4223502981551,3.7,3.80308180188936,6,8.53174705693686
Lincoln County,2017,15.0275692691159,33.2423287624648,7.5,6.62569159575926,20,20.6445716384706
Madison County,15366,18.5859429885674,47.0404422484698,11,10.9333594779617,314,315.272930847871
Minidoka County,8504,5.38795596321833,13.7108774587513,2.6,2.7449712427039,72,73.3955205806725
Nez Perce County,18004,9.36982231134375,23.3525946990716,4.5,4.48365150110221,149,147.888424530523
Oneida County,2019,14.0532941608849,34.305788015952,7.5,7.30200457606882,27,27.5012361827601
Owyhee County,4994,6.21971639322787,15.3580504563898,2.8,2.88159841537904,30,32.6425945452997
Payette County,9620,4.17590595035139,10.0289059957039,1.9,1.94298939068057,61,62.5236227696338
Power County,3043,12.1583676216498,30.7250913989714,6.5,6.5791756798474,41,42.6243726533184
Shoshone County,7164,20.6347079179624,50.2063475960505,10.6,10.1160574219544,81,80.8327631143263
Teton County,6172,13.6098902751702,34.4913025848835,12.2,12.1701968665438,473,466.947080457312
Twin Falls County,34199,6.0976598272313,14.9644088395108,3.1,3.11857667723496,369,368.516731918629
Valley County,12710,8.98621011407763,22.5926908011309,4.5,4.55566844081874,128,129.234651381689
Washington County,4689,6.08851791912548,14.9929998390865,3.3,3.31542432756189,67,65.0504497068819
