County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Adams County,30244,5.94844639688858,14.4674339901535,6.5,6.49625706345037,3677,3672.76186323236
Alexander County,3962,7.93101588528961,17.7575956760701,3,2.7763842722494,9,9.97631175475691
Bond County,7278,9.63756800003324,23.1023882024025,5,4.8124181801367,86,86.3647105382539
Boone County,20093,10.2496146755865,25.6062939708262,5.6,5.59503493323962,297,297.818646171457
Brown County,2454,9.83703330534955,25.1985105102087,5.4,5.55160648667308,37,37.4228832959886
Bureau County,15664,12.4525427256766,31.4927406424387,7.2,7.2267032695505,292,292.956831048963
Calhoun County,2901,14.4957409834627,32.8808651162891,5.4,5.05552672362856,6,7.73510886028568
Carroll County,8474,10.6076117539348,26.3186352801931,8.2,8.11423538590363,431,430.933533531095
Cass County,5824,9.22148110201582,25.2801832053758,4.5,4.96351917041335,52,53.629145226316
Champaign County,94690,5.41922838474953,13.0947611098896,5.2,5.19974429813635,8593,8588.4391905155
Christian County,15600,11.7088807581588,28.8029018685068,6.4,6.26064208091315,231,230.770677857654
Clark County,7826,5.6197375314981,14.339013908493,2.8,2.94563085053589,77,77.6599772739262
Clay County,6459,4.35084401804121,11.6565141857792,2.2,2.47388038676592,68,69.6503015041966
Clinton County,16003,7.609419755177,18.5543811605502,4.3,4.24955667613642,272,271.747410345285
Coles County,23459,7.98204741297825,19.7928564111471,4.2,4.2052555841461,295,294.880889213477
Cook County,2204019,6.13468120970292,14.9727512470325,2.8,2.80295223086209,14199,14202.2866549357
Crawford County,8695,4.37213662982082,10.543873162366,2.6,2.6372762415409,181,179.842510735729
Cumberland County,4868,5.06216848816584,14.2906193644282,2.6,3.02963597086523,55,55.6281724212602
DeKalb County,41308,6.95148300988691,17.1303024104442,5.2,5.21027561520658,1902,1897.52331438149
De Witt County,7582,12.437967137093,30.1920227586415,7.2,6.97005823686066,142,143.404593851778
Douglas County,8475,8.26229640216438,20.3471820000849,5.3,5.25862867278647,234,233.653692487769
DuPage County,362182,8.32589202404314,20.6636729399126,4.7,4.7001447785753,6130,6127.85292835214
Edgar County,8818,8.46410447368523,20.9385200793297,4.5,4.49468465033807,116,116.650928758288
Edwards County,3193,6.89888048451851,15.7198550704641,3.1,2.90729416100638,19,19.8162261356052
Effingham County,14959,5.29874989931613,12.701982551056,4.1,4.07034184058989,763,759.433817179829
Fayette County,9305,6.82599952504889,16.9484291691679,3.7,3.74820912844052,133,133.444476981616
Ford County,6353,7.99883926296908,19.6581866932968,5.7,5.65128055008384,251,249.347700034923
Franklin County,18636,5.12589902595284,12.4593370299304,2.6,2.62682338230111,199,199.236613684039
Fulton County,16368,11.8775980289268,29.5649113542484,7,6.93227220230273,329,330.451004992957
Gallatin County,2743,9.84227586171728,17.8771210872194,3.7,2.81789482874473,6,7.22585387384079
Greene County,6425,12.4282691863471,30.7747481488479,5,5.00685785095151,21,23.1587075704305
Grundy County,21330,8.25683784720915,20.9991201622304,4.6,4.71115280496814,342,342.155153891807
Hamilton County,4102,5.76686088354425,13.5816619208922,2.7,2.62572299413408,30,30.0590220692089
Hancock County,9232,10.6473996825891,26.7161295079567,6.2,6.20624320675522,177,177.764857211677
Hardin County,2484,6.34636361336957,14.391774185092,2.6,2.43267807956296,9,9.04821805238716
Henderson County,3863,14.4514160030017,36.4315881560492,7.2,7.26818952540541,38,40.5409158960215
Henry County,22147,8.56754494944503,21.3128800821918,7.1,7.10153131973917,1376,1373.82843979122
Iroquois County,13502,5.46341128895904,13.4403331021916,3.6,3.65711041693241,410,408.727650447918
Jackson County,28941,6.37037434971564,15.4716904700166,3.6,3.57353929346433,492,491.26831793315
Jasper County,4343,5.44662633495246,12.9308667614199,3.1,3.04817939802647,76,75.7056347863779
Jefferson County,17039,4.48836472395357,10.7974668319693,2.6,2.62294724761271,320,318.640133174045
Jersey County,10173,9.85539136828043,24.3381748551368,4.8,4.74173096584519,90,88.9888385830053
Jo Daviess County,13739,9.38505492288494,23.3730649549072,8.2,8.18817669351956,985,985.184974087324
Johnson County,5639,5.38189822875319,12.6016460003786,2.6,2.51655744228833,48,47.1012467751308
Kane County,190970,8.4578706248008,20.9841226142904,5,4.99591558139559,3885,3886.86519008073
Kankakee County,45747,10.4086170458698,26.1695434971764,5,5.02266541595579,379,381.726054759638
Kendall County,42894,9.32251594203439,23.1681229302729,5.9,5.87634227337162,1128,1127.11724794368
