County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Allen County,6342,9.00448183691731,21.9777893385385,4.488,4.41669331140393,25,63.2491379419421
Anderson County,3755,5.61990315349477,13.5494760727443,4.68736842105263,4.65332914953604,95,235.307880246661
Atchison County,6947,7.29947365315808,17.8363644321118,5.27739130434783,5.24373163543765,115,289.156921912671
Barber County,2735,4.42668983116134,12.2263391993633,2.4125,2.78483359807655,16,40.695518446764
Barton County,12754,6.17267042833187,15.1140661602446,4.76872586872587,4.7877274100895,259,647.18122677798
Bourbon County,7108,6.87019025631809,16.8647105735478,4.1,4.10761516060143,60,150.13774047506
Brown County,4733,11.1358762468449,27.2038883468121,8.719,8.47602922862267,100,249.675358500533
Butler County,27221,2.77043597991691,6.22034715898529,3.63740053050398,3.64402030463664,1885,4706.3487362719
Chase County,1491,8.23242571910917,18.8614908666352,5.9,5.50062167543708,24,60.5317399628851
Chautauqua County,2137,4.19214599427771,13.5179047523253,2.17,2.88636481017631,10,24.6483901469127
Cherokee County,9891,8.64770174257878,20.4619758612639,3.99259259259259,3.812835995401,27,68.3415897789151
Cheyenne County,1500,5.40451613750736,13.3273282959204,4.2,4.3063201970177,31,78.3574374985153
Clark County,1132,6.31557776257068,19.3059705841194,3.075,3.95970206981065,4,11.9873630081727
Clay County,4128,3.85406785276857,8.98713724965689,5.69942528735632,5.67388034701578,348,868.826263584383
Cloud County,4593,4.34041988041432,10.3558281147072,5.69811320754717,5.73329340211753,318,794.006434439616
Coffey County,4148,8.15150184449147,19.3981295238315,5.62542372881356,5.40240641820127,59,147.10655948514
Comanche County,1028,NA,15.4680731398092,NA,3.71223948998681,NA,19.4664414571007
Cowley County,16209,5.59963129127283,13.4891616300544,4.99244897959184,4.96523479570977,490,1224.23785527282
Crawford County,18245,5.78597913184616,13.9841593294333,3.45870967741936,3.44550477486569,155,387.025449742828
Decatur County,1795,8.22298603342573,20.4331333163109,5.9,5.94613353927403,29,73.4182245497634
Dickinson County,9197,3.87014363253179,9.08294093635263,4.36673640167364,4.37051124339418,478,1194.16703489442
Doniphan County,3578,12.0021807047778,29.8640801481136,8.18979591836735,8.10156819262585,49,122.015834019321
Douglas County,51778,2.15382636109283,4.59894433360957,3.32329826068284,3.32534975287039,4657,11640.6792562566
