County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Acadia Parish,26657,3.09806789038683,6.97531627753431,0.7,0.757575976249958,1,2.2803150292485
Allen Parish,10052,NA,4.33477053048983,NA,0.544459022516236,NA,1.68966539662379
Ascension Parish,49462,1.70775903608013,3.83879810001068,0.5,0.536871634300566,19,16.6739230783289
Assumption Parish,10939,NA,8.31554212650254,NA,0.935645216001373,NA,1.49554630175567
Avoyelles Parish,18690,NA,12.1491296774899,NA,1.2692775775059,NA,1.91199659483612
Beauregard Parish,16223,NA,2.92999748595688,NA,0.427771165249321,NA,4.92692657996215
Bienville Parish,7945,NA,6.46996135460019,NA,0.810400420894572,NA,2.13313112545535
Bossier Parish,58307,3.15940337249446,7.19485260976263,0.9,0.897517545736816,18,17.614316814911
Caddo Parish,113577,10.7113314156317,24.4108288480409,2.9,2.65275468269727,23,23.5589802326489
Calcasieu Parish,93183,0.844200195257608,1.19458176407491,0.3,0.300304163093134,143,140.576071198773
Caldwell Parish,5288,NA,13.2838117308726,NA,1.40643909406128,NA,0.639734238952262
Cameron Parish,4277,0.363113925025681,0.919148907077372,0.1,0.209017176183921,1,1.34375450729007
Catahoula Parish,5043,NA,14.7865803546727,NA,1.53180539267062,NA,0.539054906085632
Claiborne Parish,7910,NA,8.61117352109358,NA,1.02701023502138,NA,2.00291730165047
Concordia Parish,9686,NA,13.7297191328176,NA,1.42831676617597,NA,1.01584754570516
De Soto Parish,13400,1.28960592454915,2.68986869896302,0.4,0.430132524212936,8,6.6525453091046
East Baton Rouge Parish,196145,2.54755530965638,5.72432890266618,0.7,0.709277297945767,45,44.332519815836
East Carroll Parish,2896,NA,14.7708525607425,NA,1.54003515493539,NA,0.317698388629471
East Feliciana Parish,8645,NA,7.66838048631363,NA,0.897567893452967,NA,1.52964529546619
Evangeline Parish,15145,2.71546749740342,6.33820231007718,0.7,0.724929754543668,2,1.90498680405406
Franklin Parish,9403,22.6476186858186,27.2144157766886,5.7,2.72430655862436,1,0.868109984954243
Grant Parish,9487,NA,6.61030469829611,NA,0.750037396657276,NA,1.27473731781048
Iberia Parish,30819,10.0506925132076,16.951336770787,2.4,1.71612750874434,2,2.8140289998768
Iberville Parish,13637,2.48083130430024,7.15805546451045,0.6,0.802056626092598,1,1.62281842359324
Jackson Parish,7957,NA,10.0878605550933,NA,1.1542539432244,NA,1.61560674998772
Jefferson Parish,188656,2.57152744148643,5.55409037806683,0.7,0.684448188222746,40,38.5209422827381
Jefferson Davis Parish,14156,NA,3.50153006483389,NA,0.485174810048406,NA,3.58892147579583
Lafayette Parish,105058,4.66708497408124,11.2676079801164,1.3,1.3061045639108,27,24.8001006941306
Lafourche Parish,41920,2.31121063698783,4.67354088180857,0.5,0.524923403612722,1,2.94348321160468
LaSalle Parish,6764,NA,9.51664046182541,NA,1.02920908738051,NA,0.79721764300885
