County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Androscoggin County,50310,7.32687608151694,18.0828629623446,4.8,4.80239214535485,1497,1495.03262655604
Aroostook County,40048,11.639534419145,29.1375424267837,6.4,6.35642661675914,608,605.27481758797
Cumberland County,147039,12.1461472479131,30.5765336978224,7.8,7.79296878060597,4076,4074.43440383804
Franklin County,22386,8.14280233104564,20.4263713306031,3.7,3.74661102229861,141,141.127980774382
Hancock County,41683,12.2113850510949,30.4699612271524,5.8,5.751144107279,327,326.757789676984
Kennebec County,63231,9.00827572892613,22.397298767132,4.6,4.59088979871155,696,695.202408198893
Knox County,24579,6.76438809495773,16.6442003142794,3.5,3.50814991312757,287,286.234265231933
Lincoln County,24162,9.96098886443848,24.6439454337626,5,4.9490020064844,246,245.499886246918
Oxford County,37274,14.0446515303744,35.4444862308903,7.1,7.08368604485772,392,392.668464958463
Penobscot County,76352,3.76055410324272,8.83759273033311,2.2,2.21340973437633,1491,1488.31261005387
Piscataquis County,15529,14.7766067181185,35.1502538114258,5.8,5.47763619399545,44,45.1224742945035
Sagadahoc County,19054,6.58151901128622,16.3086084429612,3.6,3.64324318998431,283,283.195257357637
Somerset County,31028,6.91830411405621,17.756975190054,2.7,2.83312196929876,85,87.7857314917041
Waldo County,22758,7.53685488580891,18.5957645242106,3.7,3.69716743421452,209,208.783847128756
Washington County,23426,16.3512871505869,39.9833114580075,6.2,6.00381906027807,54,56.0072111442156
York County,112080,14.1105114863968,35.6953641844778,7.4,7.39318491798206,1389,1388.5714919958
