County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Barnstable County,164674,3.92647033692387,9.20373161862445,2.8,2.79880737453524,6521,6521.85658847773
Berkshire County,69212,6.47990917752515,15.8188510760742,3.6,3.59068609672518,1097,1095.60074805588
Bristol County,236915,3.99632358182022,9.39394127857614,3.2,3.20048257821292,13358,13358.2203716768
Dukes County,18146,4.21853194637642,9.96975336411095,2.4,2.4,317,317
Essex County,314723,4.51569540071524,10.7418158610544,3.8,3.7996230447489,20398,20391.817183479
Franklin County,34207,5.05281592001489,12.1753607585322,3.1,3.10763593805308,802,802.054137067878
Hampden County,193890,4.02381463427808,9.48580083129225,2.3,2.30505294408405,3452,3453.43430117737
Hampshire County,64383,4.25509815837697,10.0701377160444,3,3.0007714746448,2457,2457.06269263575
Middlesex County,645291,3.08029352028011,7.00887631850085,3.3,3.30029654245879,75220,75214.372851538
Nantucket County,12675,5.25186475102256,12.6591745308189,2.1,2.1,40,40
Norfolk County,281778,2.65535343465269,5.90077354596085,3.1,3.09988672786794,39205,39207.9633470848
Plymouth County,209542,2.88223241892323,6.49147218720194,2.6,2.59943857473852,16320,16317.0479339815
Suffolk County,345414,3.21529109668985,7.36915922938344,2,2.00285655875948,8525,8528.0596897503
Worcester County,337882,3.87842780312537,9.08238407063017,4.5,4.49869123815893,46440,46428.2801919543
