County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Alcona County,11241,4.81580969240821,11.3254235419467,2.7,2.65399665011167,185,184.319417921954
Alger County,6718,2.94647857113156,6.77960740552105,1.9,1.92569511585433,189,187.195807810753
Allegan County,51987,5.67816455910404,13.7344878091253,3.1,3.0943191432896,766,767.347225054926
Alpena County,16076,2.29930854688179,5.00013372029999,2,2.00723373131258,1139,1136.19003952051
Antrim County,18193,3.7941424388395,8.84891680838847,2.2,2.19731904705888,343,344.030494911724
Arenac County,9885,3.14602437353887,7.34787565655331,1.5,1.53343176574893,79,79.1285997875758
Baraga County,5306,3.47893317485741,8.20285092082959,2.3,2.34003908875631,163,162.544156935721
Barry County,27975,4.33509148986643,10.277490776803,3.5,3.50096705879745,1615,1613.29022014778
Bay County,48366,3.40084004733729,7.86728588195472,1.8,1.80486866077942,624,624.297809596099
Benzie County,12649,2.84095750637452,6.4040864353616,1.8,1.80521144486241,334,334.063424013765
Berrien County,77891,7.07932299414876,17.3914537044171,3.9,3.89554859359891,1192,1192.27040162477
Branch County,21023,7.81400044595501,19.3057907432655,6,5.9926006017122,1048,1047.18175277467
Calhoun County,60906,6.26975769005766,15.338598150479,4,4.00794950027499,1649,1649.68512300998
Cass County,26520,6.16485671647693,14.9925070492204,3.7,3.69090724332295,572,571.993981212556
Charlevoix County,17853,2.94691422689493,6.69736694261151,1.9,1.90971322984091,502,502.483091924756
Cheboygan County,18651,2.24454883687701,4.95013566626042,1.4,1.42898013970538,465,465.549548414642
Chippewa County,21518,3.29222019621744,7.57432771793877,1.8,1.80241741229203,319,318.066070140546
Clare County,23458,4.56197674171183,10.7527795386099,2.2,2.18800563585866,198,201.181439201595
Clinton County,32155,5.02952067705194,12.0618942899091,4.4,4.3907223028048,2313,2310.27669105267
Crawford County,11258,2.99822117446973,7.02871602723717,1.7,1.74983829668316,194,193.017947353152
Delta County,20429,4.08345702155585,9.60962249871556,2.8,2.79461522822263,711,709.334293974063
Dickinson County,14134,5.50996880559283,13.3001267987769,4.5,4.48537071590368,843,840.261047857664
Eaton County,47801,4.81553210362687,11.5201756465808,4.2,4.197047308592,3411,3407.96823316775
Emmet County,21864,3.28571562287264,7.525635313814,2.3,2.29545723380779,815,814.963718163927
Genesee County,192902,5.95991571948196,14.5156007639358,2.9,2.90339979709921,1699,1701.65325240798
Gladwin County,17984,3.91059761532153,9.08081268301592,2.1,2.0812920488837,247,246.400851738
Gogebic County,10788,3.41989517203853,8.00545976490038,1.9,1.92707211082823,171,171.34638485111
Grand Traverse County,45119,2.89291187032321,6.51751503146782,2,1.99902673912454,1614,1612.28506348633
Gratiot County,16370,3.88533119835523,9.12469151982628,2.5,2.50808850788187,457,458.530450271972
Hillsdale County,22122,6.97346857051489,17.1313853739442,6.8,6.79337088128943,2086,2083.33696999355
Houghton County,18946,2.23001526783504,4.81858074273655,1.8,1.80672115185496,1093,1091.26165492653
Huron County,21332,6.69920379464007,16.4041227934431,3.5,3.49554241899402,260,259.324126041663
Ingham County,124349,4.88243499331763,11.7239006489556,3,3.00548455166955,2932,2933.55240801991
Ionia County,25172,5.40763955025863,13.0197513631874,4.3,4.28323982646168,1391,1389.37619301519
Iosco County,20573,2.75622493605213,6.39098737558777,1.3,1.34172365772463,156,156.180608245773
Iron County,9344,8.04589217032389,19.1251796093393,5.2,5.00042720466708,265,264.921662291268
Isabella County,29308,3.5131739395712,8.12962649404643,2.3,2.29747392254423,870,868.353907255776
Jackson County,69807,7.82051841761373,19.3253823635411,5.7,5.69459056913602,2964,2965.16161323502
Kalamazoo County,113089,5.33035507618579,12.8633042619256,3.7,3.69860797302082,4100,4098.92201656186
Kalkaska County,12469,3.39378276927363,7.89688938387808,1.9,1.91902154644788,204,205.51993545533
Kent County,259375,3.7178070098614,8.67033288489662,2.5,2.50079980001699,8449,8450.73379829733
Keweenaw County,2514,5.62212030996401,13.1412338232902,3.2,3.11433675055365,44,44.2710054601616
Lake County,15508,4.43485587747095,10.3550256742389,2,1.98824581163167,94,98.7413472512144
Lapeer County,36971,6.8469043532266,16.6923816845774,3.9,3.87387318502278,649,647.597408224049
Leelanau County,15917,2.32033761467011,5.03203638430012,1.7,1.70140680789269,687,686.33895094684
Lenawee County,43969,9.94841003640458,24.8381100150137,7.3,7.28896857164651,1907,1907.00518885871
Livingston County,77728,5.76822204033717,13.9930041938202,4.8,4.79690484843295,4885,4884.09172318119
Luce County,4385,2.71411002718854,7.18610835221464,1.2,1.40939266645632,24,25.3021406254907
Mackinac County,11295,5.44399659163175,12.6927527386617,2.6,2.51534634417833,91,90.8060029074337
Macomb County,369479,4.1794645749969,9.87701781439042,2.3,2.30179259664312,5629,5629.17101488102
Manistee County,15910,3.54824459891522,8.17839749900648,2.2,2.18621415245958,388,387.076282363456
Marquette County,34974,6.33997578871666,15.3856960820011,4.2,4.17280889705149,1082,1081.45978456564
Mason County,17730,2.53450681607167,5.60420295054392,1.6,1.60243852975457,462,460.505169432197
Mecosta County,21901,4.50165716472895,10.6326093852355,2.9,2.88083427525023,614,612.46830929558
Menominee County,14369,3.5330170078458,8.6268239760693,1.7,1.78942034903842,120,121.92513589253
Midland County,37211,1.77567657767593,3.6277916386544,1.4,1.40350769156146,2006,2002.81723104758
Missaukee County,9294,2.99068270996441,6.76042352393119,2.1,2.09033786843552,350,346.344323657818
Monroe County,65258,6.53769113951133,16.0183365061855,3.9,3.90349339158731,1375,1374.88683152495
Montcalm County,28872,4.81631970276018,11.5248951886428,2.8,2.80323692002789,550,552.007973690646
Montmorency County,9631,4.08633123746992,9.64405660307428,2.4,2.40858186164457,191,191.974329061924
Muskegon County,74487,2.90280177286483,6.58810073954619,1.4,1.40767691577646,629,630.298855582806
Newaygo County,25806,2.96208648103176,6.76528126095011,1.7,1.71424091221969,467,466.055037094716
Oakland County,544669,5.7987039372243,14.0844692531782,3.8,3.79978577931402,16224,16220.7220146029
Oceana County,16300,2.52490635618945,5.58322098562179,1.5,1.50404831216919,338,336.955070778417
Ogemaw County,16252,4.90296880549552,11.3643097254549,2.3,2.2361919236795,120,120.94847471279
Ontonagon County,5703,2.99915686826227,6.96997890927704,1.8,1.83878931364766,123,123.281973262463
Osceola County,13853,3.851339199658,8.99881872420674,2.2,2.19567843195226,246,245.621372139391
Oscoda County,9282,5.58811951065011,12.6847844259947,2.5,2.39293986610757,54,58.3625581530152
Otsego County,14928,4.5623114836619,10.7445124026777,4,3.95263677486241,1080,1073.46054016261
Ottawa County,111978,4.10818576782085,9.67529173586496,2.5,2.49869158570544,2546,2544.96879476907
Presque Isle County,10496,6.30866899053517,15.2006802974119,4.8,4.73409333220876,509,507.236850118566
Roscommon County,24611,3.69073599304234,8.75897962897722,1.7,1.73515192601525,166,167.913676824893
Saginaw County,88036,3.36309567259858,7.75020756420058,2.3,2.30118019885835,3037,3033.25617160369
St. Clair County,72584,4.31336402353585,10.2497887124294,2.1,2.105970442178,641,641.248991222415
St. Joseph County,28058,5.39404474113596,13.0391200954423,3.8,3.80079488921842,1068,1065.90484617252
Sanilac County,23155,4.44662741844249,10.6634673879293,2.4,2.42029452662758,325,324.259771833067
Schoolcraft County,6401,3.97340778330784,9.36204255711921,2,2.00895215849702,66,66.3436646700939
Shiawassee County,30269,5.07228321804646,12.1783300774461,3.9,3.89279860906042,1515,1513.27617158896
Tuscola County,24525,7.472588864561,18.1418693126468,4.1,4.04004616129202,369,368.760360781205
Van Buren County,37554,5.34373194630069,12.997503559613,2.7,2.72033622933542,394,394.844087575059
Washtenaw County,152262,6.26586302174335,15.2916441526021,5,4.99667655294308,8500,8499.40961973374
Wayne County,815510,5.62563775489978,13.6382647178521,2.6,2.60138783314007,5594,5594.04596625448
Wexford County,17070,2.73436964978249,6.13365295928267,1.9,1.90426277306604,621,617.683271759011
