County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Aitkin County,17033,6.75785774617541,16.6919848446694,3.6,3.64741641175697,226,232.510656220545
Anoka County,134681,3.5209351670085,8.17073828139159,2.6,2.60528243559164,5958,5959.55749008588
Becker County,20066,10.118732234038,25.2137018660731,5.6,5.58992408033833,313,314.747815288938
Beltrami County,21995,6.31558389099978,15.6241662670583,4,4.03307560619472,580,573.389288639393
Benton County,17495,5.29438550793665,12.9173002749775,3.4,3.44031413249584,485,486.518910034523
Big Stone County,3166,7.93881294426408,19.7485240404242,6.4,6.4204418647128,182,181.331376149906
Blue Earth County,29176,8.68659741849672,21.6373142375035,7.3,7.31410060299298,1884,1883.43345400491
Brown County,11817,7.40805119994261,18.2577931189855,8.2,8.18152780052526,1476,1471.83787983178
Carlton County,16239,6.85880243166273,16.6852425688343,5.1,5.0450837501314,734,730.722929979394
Carver County,39750,4.36452540708732,10.3823170103455,4.3,4.31023315460191,3840,3835.69485402879
Cass County,26308,6.44097458600185,15.8201336264296,3.8,3.81762225236871,531,532.198325788771
Chippewa County,5709,9.8180644604172,24.4583340992533,7.3,7.28316985432822,258,258.964728080608
Chisago County,22393,5.0181978586428,12.0287850731858,3.6,3.5928355781136,904,901.874170254747
Clay County,27150,13.2473766077618,32.9339825179771,7.5,7.38769778860262,465,466.854387894701
Clearwater County,4801,8.61145156824036,22.1570106284698,5,5.17163462243416,91,91.7138314695118
Cook County,6249,10.8868519880525,26.3870002525852,7.1,6.86331716564083,183,182.711767504249
Cottonwood County,5436,9.05978289889055,22.6873472544199,8.2,8.22755658426337,427,425.451426067536
Crow Wing County,42644,5.31854594782937,12.8627733780905,3.4,3.40548579005769,1163,1161.79688081057
Dakota County,169967,5.15277744073258,12.4125866104423,4.1,4.10329651973977,9410,9409.05666041166
Dodge County,8406,9.64870157441715,23.8393953275542,8,7.90808805614741,523,522.057737839618
Douglas County,21544,7.43284301194648,18.2896445381401,6.3,6.28036623683012,1424,1420.48663600809
Faribault County,7044,9.37031777474895,23.6226903196015,7,7.07815039156458,323,323.950212956044
Fillmore County,10084,8.00369892224185,19.7126243450525,8.8,8.74109011718158,1242,1237.74567261466
Freeborn County,14372,10.5895299231194,26.3563091362965,8.5,8.43832432640883,816,815.945515691875
Goodhue County,20783,8.95672718830209,22.2071844052427,7.2,7.17401388705185,1185,1184.52785872768
Grant County,3302,9.71910310302238,23.282930840856,7,6.73139184940041,135,135.529542731018
Hennepin County,543729,4.75471788068216,11.3659024043648,4,4.00033596227654,35213,35213.8065292907
Houston County,8812,7.08324944280092,17.399377856874,7.1,7.09082788722135,886,885.222926536678
Hubbard County,14922,7.33872625201382,18.1937358070779,4.2,4.226781388864,267,267.026709243222
Isanti County,16482,4.54343692134958,11.0173459969972,2.9,2.95153314453615,447,447.560318708148
Itasca County,27855,6.33659745044663,15.3845880910084,4.3,4.27244882565398,936,933.425095436275
Jackson County,5077,9.54695409757966,23.8407699145612,8.6,8.57874128461726,394,391.478267965471
Kanabec County,8016,6.35496198507751,15.1346973214708,4.6,4.47113635852674,333,328.971668100851
Kandiyohi County,20076,8.88988123111637,22.0832349241669,6.5,6.49562495270229,861,861.963017618049
Kittson County,2609,12.533952082804,30.1536386919229,6.1,5.86210522479045,23,23.4163738856956
