County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Adair County,11645,6.51729016312795,16.1277199383339,3.1,3.11526691131035,92,89.5375363727875
Andrew County,7319,11.8271420874467,29.1841591183675,7.1,6.94262923133798,158,155.915452298541
Atchison County,2952,11.0753213761883,27.2995079922352,7.6,7.43768747235871,103,101.923350116348
Audrain County,10931,7.15896784138219,17.7236574582395,3.7,3.71880630549922,127,126.084473482456
Barry County,17662,14.0373922692388,34.3990923447394,5.6,5.4353056135578,55,55.469994310658
Barton County,5589,4.7342457358086,11.9196204997274,2,2.09098496347706,24,23.3989661630539
Bates County,7838,6.07794581549878,16.1054906639902,2.4,2.62665574745165,23,24.1532969828856
Benton County,14274,7.63948379841643,18.6664897513981,3.1,3.08672676539772,49,50.2822823843183
Bollinger County,5878,4.48661749702943,23.5567771399883,1.5,3.28002914899514,6,7.7916139911891
Boone County,79354,3.90823574788329,9.17137050021137,3.2,3.20151409713969,4767,4759.2367727792
Buchanan County,38821,10.7934533542912,26.9599696067131,5.9,5.8768032636704,575,575.221800413662
Butler County,19867,8.61681689089534,20.8033339250163,3.1,3.01944886751224,33,32.6274558502044
Caldwell County,4734,5.18932736896799,19.5388643750959,2.1,3.24172692513209,16,17.3523461599339
Callaway County,19055,7.98683089761855,19.43592888591,4,3.94065235353693,192,192.779201166685
Camden County,42080,5.22465357957241,12.6051107752341,3,2.99697179322159,763,757.03315450798
Cape Girardeau County,34975,8.56254880795219,21.1354735106922,4,3.97172968989415,253,250.825305144698
Carroll County,4650,11.8196841941546,27.3838594085943,4.9,4.57898248825212,18,19.1931909557977
Carter County,3265,8.44428726342108,23.5678573160128,2.9,3.32056038632897,4,4.61944343396772
Cass County,42878,9.66111769457798,24.0619364234728,5.9,5.87923436836359,988,985.299506046771
Cedar County,7266,4.60847771615289,11.4104389993416,1.8,1.8740666265887,20,20.4772462659728
Chariton County,4149,8.30229739762919,21.2657564733486,3.4,3.58105403415502,15,16.615954874804
Christian County,35314,8.39722586300541,20.9299112121557,4.4,4.40704720353324,436,432.599065664172
Clark County,3506,11.1089423538216,24.0756158488555,4.8,4.1957543497024,17,17.3381561573563
Clay County,99687,6.58049694345561,16.1149497598932,4.5,4.50007024395408,3438,3434.83130372583
Clinton County,9087,10.0736023907094,24.6875448582276,5.2,5.1044121985301,105,105.044741854819
Cole County,33624,5.08799328659419,12.2306998883622,3.1,3.09839006429981,768,766.541230815256
Cooper County,7495,7.87416942375439,19.2962494007381,4.1,4.06091487324808,90,89.5298979902336
Crawford County,12102,6.37844557888538,17.2835471662982,2.5,2.77970892447272,34,35.3595395950604
Dade County,3956,5.22910066153068,15.9457893739242,1.9,2.46704864660182,7,9.13592711504432
Dallas County,7682,5.64445423894139,15.0774548967233,2.3,2.54199717316326,27,28.2833652489232
Daviess County,4184,6.43341126341867,18.2903886762425,3,3.43800229777463,30,29.2005213932677
DeKalb County,4355,8.2698494559166,21.863835995613,3.9,4.1575260135091,33,33.3178117685709
Dent County,7333,8.70129167781559,21.2823340175989,3.2,3.20373028502554,14,15.3273462716103
Douglas County,6520,6.00682741382206,27.767052454712,1.8,3.72995019208591,3,7.21542009918362
Dunklin County,14452,5.32045434643211,13.6755033934389,1.8,1.90982447575696,16,15.8731012851232
Franklin County,45888,6.78263578311375,16.6339694179435,3.8,3.79583181492301,753,750.268916437515
Gasconade County,8170,6.80630814013868,16.4530724463193,3,2.97931705905605,44,45.4065439004523
Gentry County,3208,14.0317525781434,30.2939869448595,6.6,5.69018794666275,24,24.2493890041686
Greene County,135642,7.66379971478557,18.9077476067446,3.9,3.8915820933411,1470,1465.55238995573
Grundy County,5002,10.4317876468833,25.523729875336,4.6,4.48882591206111,27,26.8631824808943
Harrison County,4378,10.1747903198414,24.6421919151542,4.5,4.37641661628153,24,24.2107786956024
Henry County,10983,11.9405214024462,28.0747466313343,5.6,5.22249011545246,81,79.8664527311075
Hickory County,6885,5.19059058327651,14.5562085879335,1.8,2.16382233461406,9,11.6587075940707
Holt County,2791,11.1068262961022,27.8681312125227,5.6,5.64342817782914,29,30.1448378038382
Howard County,4591,8.7867233353585,20.9756458879859,4.7,4.49914652304765,62,60.7516153799666
