County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Beaverhead County,5363,14.9123219029829,37.0344789381369,6.9,6.79594727374973,37,37.2431470280164
Big Horn County,4728,8.46884942330141,23.0713004051006,3.6,3.93540426993483,21,21.1034928442894
Blaine County,2857,3.19174657385789,13.203496939387,1.4,2.37121335944651,15,13.969944907734
Broadwater County,2739,12.0339469391334,31.5959013688434,5.9,6.14177958682297,25,24.9770800035879
Carbon County,6584,22.4196127014355,54.5104643738424,10.4,9.92253436236158,46,45.9337350893594
Carter County,835,NA,39.7891753144417,NA,7.01241688273106,NA,4.21499213194486
Cascade County,39206,8.00022482390578,20.1408650637719,3.6,3.65756009786262,235,234.617772118345
Chouteau County,2963,12.3947287282413,28.299277174164,5.1,4.68460730234416,11,11.5864745787804
Custer County,5702,9.53112014013926,26.8740113411956,4.1,4.59343654715311,27,26.3787809271229
Daniels County,1130,5.66710581528027,33.4746871838201,2.2,5.24801876127855,3,3.46035896739786
Dawson County,4456,11.0807497060888,28.1233666568604,5.9,5.9434643629715,59,57.8177238243655
Deer Lodge County,5232,7.55370071072718,27.609031142444,2.9,4.31005971405626,13,14.2914161113354
Fallon County,1743,52.6096665026561,95.3381168502169,22.5,15.6926371832576,8,7.29125043262085
Fergus County,5905,24.3862413947268,57.4837531696997,12.9,11.8180354984689,76,73.8454044347336
Flathead County,49531,12.7384955628325,32.2108227240331,7.3,7.30747272093028,891,888.218762308953
Gallatin County,52554,8.4923204467931,21.1270788261633,5.6,5.60652304359796,1600,1597.51945615754
Garfield County,864,NA,35.2209626300115,NA,5.77475282435446,NA,3.28751859136466
Glacier County,5395,8.66068022701402,24.1737602149578,3,3.41071417123121,7,7.94971054170178
Golden Valley County,486,NA,42.9881867289488,NA,7.94161303478498,NA,3.61252249752768
Granite County,2836,8.66869521436489,26.7141494142681,3.4,4.31927019561623,8,9.33891691955976
Hill County,7352,5.60059598870385,14.3041911304993,2.3,2.4161304782432,27,26.7430704265284
Jefferson County,5119,15.3343475204159,38.3487081041437,8,7.87929979894193,62,61.1300515124999
Judith Basin County,1356,10.4121717540187,26.4082396236257,6.9,6.856490833677,42,39.22551577265
Lake County,16958,16.0382692276292,40.7097744185631,7.8,7.80051984300629,149,149.137917814302
Lewis and Clark County,31943,22.5597971353775,57.1090188274368,12.3,12.1731900859262,468,466.611779223672
Liberty County,1047,9.9170191651408,21.9715740713008,3.9,3.5141619316506,3,3.13098646803176
Lincoln County,11610,42.3750896501466,106.624036786109,19.3,18.8333305494344,74,73.9273362529848
McCone County,1024,4.51544993495972,39.2738214612049,1.5,5.81475500334704,1,2.20430170150123
Madison County,7004,11.6587416055514,29.9446395966726,5.6,5.7225016063253,58,58.0906908357827
Meagher County,1447,11.3776867120285,41.9512235830473,3.6,6.36537055648027,1,3.70535585179332
Mineral County,2507,17.1060944052231,42.9967267623878,8.9,8.79133702115524,30,29.8734299544507
Missoula County,55544,7.83223668087491,19.3970511907546,5.9,5.90424183222806,2613,2610.87550263584
Musselshell County,2697,8.36164169528355,24.2274993790314,3.8,4.39082379788183,17,16.7847720103267
Park County,9718,15.7599250303404,39.987202214566,8.7,8.68677752634642,150,149.37375113792
Petroleum County,332,NA,34.4123093084502,NA,5.97159702725327,NA,1.68218525645514
Phillips County,2358,NA,33.5843134624546,NA,5.94114913206389,NA,13.2319826737662
Pondera County,2679,4.09350406390829,22.6136655073786,1.5,3.36727215645737,5,5.46589937415198
Powder River County,1034,10.7682958140065,26.1725571021186,5.1,4.8656033717781,8,7.2097761843138
Powell County,3287,25.2691409860468,57.6667263755345,12.3,10.9874103826498,29,28.757348324955
Prairie County,680,17.900946200698,39.9953489067139,7.6,6.75191037507513,3,3.13030429016119
Ravalli County,19847,7.81366390486519,19.3127190370741,6.2,6.19470133196068,1090,1087.7598009448
Richland County,5286,14.6991450787845,37.0891723296349,7,6.96566091413402,42,41.516826815519
Roosevelt County,4140,27.5068360865007,61.3513936719916,11.4,9.96369071564273,16,16.302549855707
Rosebud County,4148,11.0917012248477,29.2148471623567,3.8,4.23298721139911,5,7.35946077339851
Sanders County,6764,24.0794940247052,59.4908804542871,10.7,10.3935806446142,38,38.8131050169769
Sheridan County,2158,12.3583132227609,31.2944122873237,8.3,8.29434200092962,70,68.4325759524723
Silver Bow County,17466,17.6144690263507,44.448145438981,8.8,8.71755794356439,174,173.665498394933
Stillwater County,4873,15.5272496378871,39.6249676904381,8.1,8.11195355320443,59,58.0993036632119
Sweet Grass County,2164,39.2867433254209,80.0695914254256,16.5,13.1698118572396,9,9.10730193875946
Teton County,2922,12.3167362064449,31.4270079442714,4.7,4.88383052058806,7,8.0553008638124
Toole County,2380,11.6759213594914,26.9965842502449,5,4.5746731939074,11,10.2047714743796
Treasure County,434,19.7811729713438,30.7511406257027,7.5,4.91683325251937,1,1.33451098344591
Valley County,4897,19.4016384433755,46.675506790411,8.4,7.89032631459636,24,23.3056828060257
Wheatland County,1209,39.4550566510179,65.9126811556096,12.8,9.72915810719709,1,2.60528747767318
Wibaux County,580,13.6166184140803,37.1605196680695,6.3,6.77493286919911,4,3.92665225384964
Yellowstone County,73862,7.25228314313726,17.9105124104795,4.3,4.3078721335775,1520,1517.05003974024
