County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Churchill County,11045,4.59084961043901,11.3209258273043,2.5,2.56648544247673,161,157.95707813005
Clark County,924538,4.08205699092369,9.61916361831244,1.6,1.60081858912744,2598,2598.88556458719
Douglas County,24773,5.33370862235417,12.8773575948346,4.5,4.49901530724574,1617,1615.40641076731
Elko County,21966,9.63159234725125,23.758865699321,4.5,4.44298248400679,159,158.851337989999
Esmeralda County,860,NA,14.7684465012269,NA,2.45647821143234,NA,2.91170126889494
Eureka County,1087,0.677423488110795,15.8555330674694,0.3,2.78777180353131,6,5.19224348406243
Humboldt County,7617,9.10303063538233,22.4053292602088,4.4,4.35969488285026,65,65.2839265684777
Lander County,2741,6.8431263538998,17.2186279978409,3.1,3.19240702872977,17,17.3486256427769
Lincoln County,2826,7.59037091668773,16.5033012448365,3.2,2.84657262718276,12,12.2059981237349
Lyon County,24020,7.97634757317125,19.5406330389122,4.2,4.15988406182476,303,303.458659643647
Mineral County,2842,9.09660759890654,18.7043084053741,3.4,2.99284176481813,6,8.17927780596981
Nye County,22479,4.3979255431904,11.381269471155,1.8,1.95476540329216,81,82.869901477016
Pershing County,2508,13.2091576550118,28.1132005262982,6.6,5.60232814443895,25,24.7050813728566
Storey County,2073,4.81982503963934,12.3566807349986,2.7,2.88731020051859,34,34.3976843742651
Washoe County,205417,5.31197414919927,12.8212944212234,3.3,3.30207202334789,5046,5045.77174100897
White Pine County,4536,7.99842540264942,18.989473960594,4.4,4.18914478771158,69,65.6648233207645
Carson City,24356,7.3089052244382,17.9267063145853,4.8,4.77834369574358,731,730.534410984613
