County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Atlantic County,128930,1.60283947069548,3.16605879640067,1.00234182415777,1.00355580525953,4868,3247.07528257081
Bergen County,360816,0.884368703289445,1.2922108314955,1.52187682664883,1.52188200299976,141995,94646.7713717864
Burlington County,180471,1.23179080406688,2.19560727741506,1.66371985289636,1.6634698940707,49217,32812.0277315216
Camden County,206357,1.44166045125412,2.74277006950522,1.92611655231095,1.92601514925596,55237,36825.8179936454
Cape May County,99634,1.33123332783757,2.47238726758514,0.617274472168906,0.620467274145417,1042,695.661416971263
Cumberland County,56451,2.11994139256258,4.5022088073872,1.64289006683568,1.64127220701716,4339,2893.00592869744
Essex County,319686,0.920455683380208,1.38586303803719,1.361708776267,1.36180183902595,101125,67426.2370480114
Gloucester County,114447,1.83544508941151,3.76711739030884,2.43020225464191,2.42930407650736,30160,20099.3378964028
Hudson County,286918,1.17727007000286,2.05513404552792,0.963546950629235,0.963872890735585,25825,17216.5932767905
Hunterdon County,50563,0.979461683444207,1.53882599499592,4.27069844392774,4.27001422977798,44728,29819.1261363969
Mercer County,145125,1.0826203918385,1.8078502373587,2.54800698958893,2.54791067650322,81836,54559.1823088548
Middlesex County,303426,1.03232248898844,1.6773503973134,1.76611099388057,1.76625046379963,118475,78976.9836072137
Monmouth County,262925,1.12190766586471,1.91036332165001,2.07080482702001,2.07059252043858,113279,75511.4226879738
Morris County,196201,0.958190324157824,1.48446727294565,2.74831500720406,2.74833035263991,131870,87914.9717577086
Ocean County,286170,1.48068466980249,2.84385030860372,1.10267261721555,1.10280365823291,19494,12997.955488205
Passaic County,177260,1.140614097158,1.95837422921307,1.78048499794492,1.78010147157455,60825,40546.5047825529
Salem County,27606,2.43686870284835,5.32756164767355,2.25761090171064,2.25664236916634,3449,2299.43061708944
Somerset County,127513,0.876662975325298,1.27207749199924,2.84963053402697,2.84963168670768,94190,62793.481634242
Sussex County,62623,1.27481644655133,2.30733289466523,3.77012592472345,3.76965285101291,43121,28750.7288690695
Union County,203054,0.913807553276393,1.36882652207253,1.53570671697723,1.53588432196879,77386,51587.7854252909
Warren County,45636,1.5060261451472,2.90959651093833,4.49213479594095,4.49157120710635,31633,21089.6206103577
