County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Bernalillo County,296404,8.3295522892723,20.6794376009044,3.4,3.39963477519645,1052,1050.39300046518
Catron County,3413,13.7792315242867,25.7318773118978,3.9,3.09300229124283,1,1.57525464355738
Chaves County,27480,18.8177807823202,35.376522498233,5.4,4.02251656400743,9,9.30574522263984
Cibola County,11457,16.787227096481,32.7731499927676,5.7,4.37653248164733,13,12.4190916172296
Colfax County,10356,17.3185147745136,42.7747436844424,6.1,5.9241525939301,15,14.8527567352806
Curry County,21493,2.86255225125204,6.73150420592467,1.3,1.34767439823666,135,133.474909773836
De Baca County,1371,NA,31.4240172087489,NA,3.78479219036782,NA,0.712040717936479
Doña Ana County,89968,5.58040398104644,13.8736809796694,1.9,1.94580627243436,104,103.352268881399
Eddy County,25089,4.71631626960172,14.3892846462819,1.5,1.87451202400111,18,17.29083958905
Grant County,15162,11.4177278863419,26.2353542408883,3.8,3.46158221406583,15,14.1335377824441
Guadalupe County,2474,NA,29.1842813089701,NA,3.82583271190759,NA,2.13374336088607
Harding County,543,NA,38.0514499831768,NA,5.06873652870426,NA,0.562172496614358
Hidalgo County,2480,NA,25.6661783130683,NA,3.30489869757123,NA,1.52665784551529
Lea County,27028,7.28129736379416,19.0523831112659,2.4,2.5287508113365,25,24.1573069024267
Lincoln County,18366,8.76477569747632,22.3557148938034,3,3.0464500449074,22,20.8410117567956
Los Alamos County,8401,12.396641930311,30.3347583823375,6.1,5.91037269841498,78,76.9320748478222
Luna County,11355,12.082381683191,25.1967816729121,3.6,3.03188581840735,5,5.33592625434134
McKinley County,26429,10.1628715654048,26.5165724395888,3.3,3.44729514105262,22,22.3465297554739
Mora County,3328,15.1846412967118,37.9968505842045,5.2,5.28288826771948,4,4.73874644965215
Otero County,31947,8.48529606349156,20.8314850848897,2.7,2.66375699927788,23,22.7095043819583
Quay County,5724,18.3203490359459,32.6419948039972,5.3,3.94808489039642,2,3.01195788946765
Rio Arriba County,20302,16.4393360963574,39.9745318453513,5.2,5.07564275029734,14,16.1466787679183
Roosevelt County,8577,29.0584433153094,37.6802843268899,8,4.19705628268801,2,2.38067561636509
Sandoval County,58146,8.64069296730974,22.0842478238801,3.3,3.39400140659599,140,139.643316140588
San Juan County,51480,13.6318723516403,34.0064365712404,4.6,4.54408212729513,56,56.1066562505593
San Miguel County,16073,17.2379027882693,38.7122159984763,6.1,5.37815178441867,24,23.6227332294759
Santa Fe County,73551,6.26634794257504,15.3212657819222,3.9,3.90380309429357,1819,1815.70311796235
Sierra County,8602,7.993852773619,21.7268917958828,2.2,2.55315575828511,2,3.28411345330869
Socorro County,8289,2.37140770415748,19.0348750224576,0.8,2.51528089108703,9,7.40658913123654
Taos County,21158,22.8607669439829,56.2829463448319,9.5,9.14708924048769,83,81.9805285250932
Torrance County,8093,9.18903450113489,24.135845362124,3,3.21568305463293,7,8.02350350904075
Union County,2358,16.893325928023,36.2790931593384,5.5,4.72179826409459,2,2.08651096581917
Valencia County,31576,7.99581779430869,21.289496876563,2.5,2.69190530212167,20,20.4229111249589
