County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Albany County,142892,4.46486911544171,10.6388647792814,2.6,2.60631327113005,2740,2740.249860967
Allegany County,26419,10.6645620852393,26.8721679878482,5.8,5.82298139211535,383,382.871246993782
Bronx County,537232,3.46299014493379,8.22496006277728,1,1.02510942488521,185,186.441640731804
Broome County,91408,4.28474091797037,10.1536223878615,3.6,3.60356622112484,5899,5896.63876327378
Cattaraugus County,41746,12.1650411061395,30.5229001701613,6.6,6.57765151339254,599,599.698133487037
Cayuga County,37247,7.5246805842511,18.5633304412322,4.4,4.40130207971129,726,727.342812342815
Chautauqua County,67774,9.9018543631778,24.7538891981313,5.4,5.39816594559097,994,994.414165705531
Chemung County,39082,11.3829535944782,28.5381445156869,8.1,8.08024395272395,1537,1536.67606371394
Chenango County,25961,7.73062935934857,19.0857868275428,5.4,5.39408491808336,961,960.331276038563
Clinton County,36835,5.92063870375825,14.5356883934846,2.2,2.22449735292887,75,74.7500658386082
Columbia County,33698,9.55502732152374,23.7140738957202,5.4,5.36729109413282,573,572.134494868169
Cortland County,20872,12.0958217131222,30.0818801194155,8.5,8.39428764430081,788,787.528398010385
Delaware County,31649,7.64962216585076,18.8273834923504,5.1,5.08094785414056,1001,1000.51306350666
Dutchess County,121574,8.95483423775909,22.2678024306617,5.1,5.09556866236568,2133,2132.7008325085
Erie County,430736,5.07837695899354,12.2077934751663,3.4,3.39956870221433,13822,13822.9094566521
Essex County,26485,5.51795600713087,13.5260331163449,2.4,2.43499416966241,133,133.606534955818
Franklin County,25964,9.60043135305929,22.3261323271519,3.3,3.10578210013645,32,33.1207390698867
Fulton County,29173,3.68834578787714,8.73418707543047,1.9,1.92888824648636,334,333.313539183562
Genesee County,25902,15.1069648908951,37.1124989340782,7.9,7.6648498433433,317,317.873120931677
Greene County,29792,6.48957931681258,15.9149666148123,3.7,3.71121168740409,525,524.94738594507
Hamilton County,8987,6.9893329356778,17.4398465711719,2.4,2.60063726754331,11,16.5657346675434
Herkimer County,33909,10.8144994398256,26.4075072558153,5.4,5.25552053768305,337,336.187144725968
Jefferson County,60170,4.75650986879558,11.3636673125465,2.8,2.79855597991452,1204,1201.81294027964
Kings County,1065399,4.44933001942321,10.5904890370738,1.4,1.40230664991417,707,707.065432077833
Lewis County,15817,5.62041380337502,14.0060553930214,2.6,2.67488449200406,109,109.796674442355
Livingston County,27725,12.612240637901,31.5465517278516,7.3,7.24052839851653,519,519.353143107899
Madison County,32456,7.29845905388703,18.007086556363,4.8,4.80792521594857,979,980.158156150556
Monroe County,330247,4.3336437883125,10.2803931692236,2.6,2.60267419800133,7113,7110.93096440953
Montgomery County,23550,4.92647592670843,12.0011744600688,2.5,2.54102703001238,252,253.851521050331
Nassau County,474165,6.32698029608093,15.4445980624989,2.2,2.19781822638878,631,629.963895259266
New York County,892878,4.60582551965241,10.9803043643565,1.5,1.50014253221115,759,757.531708465301
Niagara County,100710,4.41631337730489,10.5061498981745,2.6,2.60472671206815,2016,2014.31789543111
Oneida County,105614,8.90113032085192,22.127456962862,5.2,5.19542200406331,2051,2050.84170585836
Onondaga County,209729,5.85638268602368,14.2332217216142,4.3,4.29946895755516,9114,9112.0350323626
Ontario County,51704,7.14267567284605,17.5860682167144,4.6,4.60016489043061,1448,1447.33797949077
Orange County,145207,6.86553339859045,16.8569122235086,4,3.9981993105497,2790,2787.75612754414
Orleans County,18600,7.18820148295971,17.724484081533,3.4,3.41160354496111,143,143.971231691009
Oswego County,54721,4.98737095645864,12.0542568847689,2.7,2.71940306521244,778,778.917908049847
Otsego County,31332,6.93691180783377,17.0155338393032,5.2,5.18734267949925,1452,1448.61161502915
Putnam County,38713,5.68532396086111,13.7727369873159,3.6,3.59457772790441,1020,1018.34937517626
Queens County,869400,7.6291129096436,18.6364884837992,2.3,2.27776378975003,419,419.825917074059
Rensselaer County,73425,7.83965763076989,19.3756010075505,4.7,4.69566373227821,1577,1577.25526931782
Richmond County,181751,5.008239997777,12.025100430813,1.8,1.8,300,300
Rockland County,107002,5.07231524055863,12.2254731254623,2.4,2.40746675084179,824,825.391182284593
St. Lawrence County,53481,6.62797868696729,16.4686159030174,2.6,2.63855407855374,151,152.136973970835
Saratoga County,108311,4.71379454333177,11.2504607232141,3.4,3.39550545522302,4449,4443.41328649959
Schenectady County,70106,4.15445554220279,9.80570378479242,2.7,2.70128828746316,2028,2026.99119048984
Schoharie County,17588,5.3997507217575,13.0420281472087,3.5,3.50195099598189,504,503.227779740086
Schuyler County,9894,7.62556154437286,18.9523486163028,4.7,4.72651846477886,236,235.511599994558
Seneca County,16432,5.47807917822727,13.4458602874201,3.2,3.24593842437244,319,319.31535714149
Steuben County,49801,13.1441330328677,33.0515027332144,7.9,7.8704220922975,1080,1080.03288719555
Suffolk County,577512,5.43673694505521,13.1487430160461,1.8,1.80169486746465,551,550.609943952824
Sullivan County,51270,6.20981152409458,15.3165352552426,2.7,2.73270561788261,257,259.269502734398
Tioga County,22609,7.0935638545143,17.4633696867872,5.9,5.90330582484266,1419,1416.6622156669
Tompkins County,44634,4.37493514824335,10.4028624706677,3.9,3.90864633242139,3372,3369.98722742468
Ulster County,85608,5.50774511310802,13.3332173773878,4,4.00087591566381,3594,3591.32240573595
Warren County,40285,2.99523138293954,6.7946617817433,2.5,2.50119083669174,2553,2549.80179621981
Washington County,29650,4.57131211883694,10.8988207588078,3.6,3.60123595200104,1593,1589.69440989741
Wayne County,41894,6.89151456421962,16.9235520388462,4,3.99903993672552,793,792.393005021805
Westchester County,377297,5.09307715115358,12.2353981782859,2.5,2.49833534851441,3463,3461.48906939851
Wyoming County,18402,10.242095123922,25.660945131032,5.9,5.90366454948529,338,337.856318118703
