County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Adams County,1442,23.9645143902559,52.6896652684793,11.1,9.81270467331287,10,11.2986088594054
Barnes County,6046,12.6642523431669,32.2715332849567,6.8,6.87116669222075,83,83.2022463285305
Benson County,3055,13.1580868369124,32.6227023281917,6.6,6.5521066326881,31,32.4380226187852
Billings County,562,23.7587836464433,47.8403389536456,16.4,12.2247463171714,20,16.1778012369082
Bottineau County,4493,13.1791502064122,32.5304631253564,8.2,7.95500980668752,111,108.179295113449
Bowman County,1777,18.9323751563508,47.2929133055204,11.1,10.8439265082649,35,34.1613949830536
Burke County,1452,13.5716731597174,30.1159469357663,6.4,5.70230201678808,11,11.4768062878179
Burleigh County,43430,7.37063411773098,18.2614118412933,5.1,5.11959317513122,1558,1554.49733534288
Cass County,85442,14.1727653926518,35.844489393898,7.1,7.09659721754502,862,862.226550791059
Cavalier County,2360,9.82134525530222,31.137215301694,5.1,6.44395722486294,28,28.3050691879177
Dickey County,2658,9.31879592589549,24.5658899128808,5.9,6.20109831571777,70,68.9848106298994
Divide County,1525,9.57456649762146,23.4285063398054,4.7,4.59706021819314,14,13.8174377960202
Dunn County,2561,16.9655079604752,40.3875159523692,9.1,8.56476432439239,35,35.2653575619287
Eddy County,1354,4.67991022245008,28.2451714861022,2.1,5.18395588180742,8,9.12885731209971
Emmons County,2162,18.5373311480115,41.9580366848118,9.9,8.8148456250793,29,28.9770719504586
Foster County,1827,9.20595963829498,23.6123726578212,5.2,5.3248770784893,31,30.5670286092297
Golden Valley County,1054,12.8486811680874,39.0533239683009,5.9,7.3412049643965,7,8.2574217392883
Grand Forks County,33501,18.1102727822211,45.9499064339758,10.7,10.64833788843,680,677.722344084757
Grant County,1750,19.9418882542882,44.8925818232975,10.6,9.35328639256779,23,22.1195710385971
Griggs County,1460,12.9500570408199,33.45314453227,6.1,6.378191452111,11,12.0029125483661
Hettinger County,1434,11.9098179289227,34.7545006764919,6.1,7.09663767657983,16,16.3763751658084
Kidder County,1735,14.5705921460691,33.3352485665109,8.2,7.46916682721256,29,29.6893336397516
LaMoure County,2268,10.2731422424081,27.6832661233601,6,6.47621445583795,44,44.5882367065822
Logan County,1155,13.6854650934457,35.1678053907036,6.9,7.24419726200222,12,13.5136914660593
McHenry County,3178,15.0014697891627,34.873743236754,7.3,6.79669488922566,28,29.5846180939207
McIntosh County,1859,17.8177070556651,41.5451514910075,10.1,9.25657398850349,32,31.5735000082504
McKenzie County,6924,12.919924574405,34.6210081809902,5.8,6.20751143789554,41,42.9279236321263
McLean County,6289,12.38183432819,30.8886875584756,6.8,6.74205792747891,95,94.6358645461661
Mercer County,4819,12.0994122040497,30.5469796924909,6.9,6.9183882601776,85,84.6029267522081
Morton County,15417,11.4391230094443,29.0332655082954,6.5,6.56163132794405,268,267.203554159223
Mountrail County,5261,19.7863225248892,43.978538641768,9.7,8.48275868635402,48,47.8288972468582
Nelson County,1957,22.3424931942274,47.9205838767984,11.1,9.36996767832099,19,19.1728070875172
Oliver County,975,16.2334986420327,34.7824937385616,8.5,7.32333577641257,12,12.8999651190738
Pembina County,3864,25.2700392165793,62.2194601766118,13.8,13.2565704067772,57,56.8238855210173
Pierce County,2255,10.2200752472874,26.1487736369424,5.8,5.88436199263456,39,37.8693328446317
Ramsey County,5853,15.0905182768942,37.7148952831641,9.2,9.04008211042043,134,132.010004029242
Ransom County,2686,13.8764325775388,33.675727497794,11.1,10.5177454315028,151,144.956138645301
Renville County,1423,15.2050479474676,34.2254000650956,7.2,6.54983465649739,11,12.0570372704872
Richland County,7798,9.61750141149016,25.2872265677936,5,5.26053668047058,93,93.5151662739556
Rolette County,5577,12.1234219419079,31.5532756844188,5.2,5.48411875324262,26,28.2831133278435
Sargent County,2190,15.8778862723409,37.9462382643708,8.1,7.74361572374819,24,25.4123466780469
Sheridan County,930,9.63545131697855,25.787623143009,5,5.49528082174373,11,12.3448531791713
Sioux County,1353,26.3214905486829,52.309765604285,9.3,8.53284068407144,2,5.20879539852749
Slope County,456,19.078095690641,41.6903939355266,11.5,9.55984739689271,10,8.68126047669552
Stark County,14880,10.3091015724977,26.275958953557,6.5,6.59807163734946,386,383.704115749351
Steele County,1192,6.15255251080844,42.8122628783674,2,6.93336209501839,1,4.47664774279999
Stutsman County,10268,10.9963405765019,27.4307670442485,7.5,7.42741949289162,351,347.234441485891
Towner County,1447,10.575171134682,27.594918173276,6,6.16444798766721,25,24.0461563814192
Traill County,3853,13.114382352149,34.5842785329674,6.5,6.78767702586416,37,36.6535344481733
Walsh County,5623,21.5080028104069,53.3403627677813,13.2,12.7882094026307,132,130.57547851267
Ward County,33171,8.04712193408039,20.246889418206,4.3,4.36181799921823,446,445.013623836518
Wells County,2513,6.86185436068406,18.3471316672528,4.6,4.91924317867918,81,77.4353046441004
Williams County,19659,7.14215251889965,18.2404844358712,3.6,3.72955898984184,204,203.286810951046
