County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Adams County,12952,28.5706433064201,62.5120931775354,10,8.60479747553256,18,18.7170835449293
Allen County,45188,17.3161908390048,43.6586457420365,7.6,7.53328287561954,238,238.029722465339
Ashland County,22379,20.3656517035293,51.6465419049199,11.2,11.1295788585018,340,340.529558727535
Ashtabula County,46269,12.3596546518289,30.8159753780525,5.7,5.64244403702439,314,314.715292175927
Athens County,26673,8.6564013524135,21.7341917050265,4.5,4.53405569342606,318,315.15706904422
Auglaize County,20138,16.6397118292534,42.1939464029209,7.7,7.68831665619688,139,138.768047414759
Belmont County,32238,10.8233795335531,27.2099259586783,6.5,6.50978127776497,697,695.350815966021
Brown County,20554,10.8583125735808,28.4243996149657,4.4,4.58567653613743,70,69.921964160827
Butler County,153241,12.6943073184321,32.030419455479,6.7,6.70114352254118,1953,1953.23340185425
Carroll County,13606,24.3111825156859,61.4356651060255,16.8,16.5629117560068,486,484.11400218888
Champaign County,16848,16.6899740821635,42.1328453508952,11.5,11.4173563875006,596,595.127737807013
Clark County,61253,12.5252730138157,31.6078361214002,7.7,7.70412542672805,1447,1446.54957444397
Clermont County,84146,9.13174186282044,22.7701878586959,5.1,5.10239795316037,1363,1362.86977789302
Clinton County,18229,12.8131760353167,32.9315855273789,5.7,5.80860746152954,103,103.370526936728
Columbiana County,46850,17.5735902549489,44.6481690989101,9.5,9.48150103694756,662,662.234865530558
Coshocton County,16420,28.8098632305061,73.2834503135225,13.3,13.2119466535503,112,112.713090033204
Crawford County,19996,13.2574496834224,33.8612458491057,6.7,6.78141883626174,210,210.647416977545
Cuyahoga County,617249,5.35944945948631,12.942689713786,3,3.00063676454903,10092,10093.8767021025
Darke County,23037,15.0622848335672,38.1240320597912,7.8,7.77920350662606,270,269.421989107399
Defiance County,16824,13.094571708152,33.205922942594,5.5,5.50995275757255,70,69.097318476739
Delaware County,76147,11.0035293151705,27.6520024897069,8.4,8.40622380789586,3730,3729.74320275561
Erie County,37897,9.9342616368509,24.8292043733062,7.3,7.29452219148331,1651,1650.99972888064
