County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Baker County,9096,8.72012470330135,20.6427195806302,3.7,3.51836482746749,40,39.1492273086776
Benton County,39105,5.071878012074,12.2061255941664,2.5,2.4996859633186,366,363.791073040657
Clackamas County,170724,4.62639090208067,11.0309662856181,2.8,2.80011865653352,3802,3801.68526576635
Clatsop County,22774,14.1322137848261,34.5688495985642,5.4,5.23831588128698,55,55.2190360327614
Columbia County,21602,10.4424221242257,25.9379830119321,5.2,5.15259280118553,212,211.368004541485
Coos County,31368,6.1583072159588,14.6782803975275,1.9,1.86084403017532,18,17.5591891254852
Crook County,11196,3.22511951544527,7.48636557399989,1.3,1.30720543466023,37,35.5585040584616
Curry County,13069,6.00856399364344,13.5888866781804,1.8,1.69082338078893,6,6.19968873357885
Deschutes County,92795,3.31935294213701,7.6934730293224,1.2,1.20821775767281,159,158.582883552299
Douglas County,50970,5.39892071812897,12.6645760352995,1.7,1.66048463576626,34,34.1965996813906
Gilliam County,1186,NA,10.0585321667804,NA,1.53760847109691,NA,1.90429589950128
Grant County,4451,3.65567712354547,12.7101256701705,1.2,1.79468894160572,4,5.07332905504871
Harney County,3928,4.05328206469045,9.06863030611157,1.4,1.34671249421714,5,5.13562508934645
Hood River County,10157,9.03798629512755,22.0725052241269,4.8,4.70182094138302,133,132.733492282395
Jackson County,97266,4.4023239190284,10.4781000350644,1.5,1.50346686475065,113,112.495996732248
Jefferson County,10305,2.1769706063863,8.73738679085713,0.7,1.23551049999295,8,9.25565764467933
Josephine County,39641,4.68153502038169,11.2624157037406,1.5,1.50950497105432,30,29.7481226702784
Klamath County,33876,3.54013023309328,8.40166022658285,1.2,1.2255657218965,38,37.8716860480479
Lake County,4553,1.52811882949011,6.01021400862334,0.5,0.883567162754096,4,4.07421367323094
Lane County,164847,4.43636424206536,10.5643070368813,1.7,1.70441555489283,405,404.736077894145
Lincoln County,31945,9.06631981713918,22.3976023395815,3.1,3.09518587378201,38,38.8826349921126
Linn County,51398,4.7636788154789,11.5857721589656,1.8,1.83160323580462,116,116.707532584792
Malheur County,11957,6.29672606471348,14.9785536260143,2.1,2.0511262259407,12,12.3102050165914
Marion County,128622,6.48467319909093,15.8488201578594,3.3,3.29470274045971,1394,1392.71860432704
Morrow County,4789,2.7033718731029,10.5851574628798,0.8,1.38208118442325,2,2.87153369700905
Multnomah County,359778,6.2998075645125,15.3833869263084,4.3,4.29893941139192,12330,12329.1042057226
Polk County,32957,7.73643124014472,19.0217775762934,4.4,4.37406281977621,575,571.888114241123
Sherman County,943,NA,10.2885009902912,NA,1.68845904909694,NA,2.05372087184878
Tillamook County,19291,21.8827385821924,43.731397747296,6.9,5.60077418418887,13,15.9624008955633
Umatilla County,30919,8.2844902622451,19.9980234944021,2.8,2.73849488496081,34,34.3811128318457
Union County,11922,9.93294236463406,23.9987482881564,4.9,4.73040382158011,112,110.026479526155
Wallowa County,4282,6.62999959053739,17.3682010254289,2.7,2.86592726469917,15,14.8301484824695
Wasco County,11773,4.27479389352713,10.658968950336,1.7,1.78368630236932,36,36.1705372866771
Washington County,234162,3.69206017289797,8.6204386909949,2,2.00404720677406,3338,3337.18510338417
Wheeler County,919,0.266228551572213,8.6281012991167,0.1,1.32644355730481,2,1.51293261155938
Yamhill County,39899,6.96063260911288,17.0654299423347,3.6,3.59084735502265,465,465.194622269752
