County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Adams County,42756,8.16757967977925,20.2678095993684,7.3,7.30474398113455,3252,3249.54047329099
Allegheny County,604258,8.50956476281923,21.1467376894218,5.7,5.7015789838029,19423,19420.6112968094
Armstrong County,32841,18.9494030773565,47.9395237168631,11.3,11.225287090292,691,693.46752914231
Beaver County,79793,12.3910780549001,31.1971431433279,8.4,8.38980552505927,2672,2670.45939610192
Bedford County,24474,21.6203465258707,54.975085005162,13.4,13.3190635682388,596,594.071664858197
Berks County,167853,13.2597957537493,33.5010309074898,10.7,10.7014957716893,9676,9672.85432370445
Blair County,57027,12.6157633860022,31.9732149669329,7.2,7.23160554534862,1009,1009.34147517543
Bradford County,30741,15.7409822819935,39.8961565984383,8.8,8.77943955397711,500,498.633534443421
Bucks County,252261,6.33093446875638,15.4756716629199,4.7,4.70204851492556,11346,11342.9905717058
Butler County,84873,10.1929145471433,25.5176772794708,8.8,8.79446442210173,5895,5887.33865856658
Cambria County,66047,14.2338960036348,36.0763551607038,8.1,8.11053814915949,1155,1155.69228421166
Cameron County,4421,15.2610418538026,39.0747157200256,9.1,9.14608986352117,93,91.1255688898406
Carbon County,34883,20.7756056519683,52.7968591759198,14.2,14.1340751438139,1201,1200.75870960637
Centre County,67398,20.6464938815399,52.7089726462147,12.9,12.8952146836229,1691,1689.57303665299
Chester County,203159,6.10389700029017,14.8772510760751,5.1,5.09953909555534,12912,12910.9261890768
Clarion County,20584,12.6051778990993,31.9611798365443,8.4,8.44226911117407,650,647.479403894192
Clearfield County,39357,19.3354502719487,49.1621362073672,11.1,11.0740439767093,713,713.728654050415
Clinton County,19298,16.7222156331958,42.6682988961092,10.4,10.4177372748441,476,474.514284630497
Columbia County,30425,27.7310046103364,70.5615092378865,17.1,16.9436254828419,727,726.586439339295
Crawford County,45002,6.75149498518342,16.6157422354041,4.5,4.51410383685819,1422,1421.28120954959
Cumberland County,107909,14.1309358071023,35.7840484199247,11.2,11.2040722091518,5907,5908.36628907425
Dauphin County,125437,16.4657550860101,41.8770633908383,11.9,11.9071761862326,5185,5185.69136045799
Delaware County,225035,4.19329905786401,9.9080502825806,3,3.00070534068822,9005,9006.15085169704
Elk County,17830,17.1422057135933,43.6840007481757,10.2,10.1952533330604,372,368.753530890459
Erie County,121858,6.30087824095824,15.3939130620525,4.9,4.90100745836544,6309,6306.88913997464
Fayette County,64082,11.0217645154697,27.7209572807074,5.4,5.41476286981556,583,585.033218762285
Forest County,8727,46.7494113111282,102.500476401404,19.8,17.4815011555945,38,46.4222825870914
Franklin County,66183,12.9851502116036,32.8168083906154,10.4,10.4031564878573,3734,3729.2535718441
Fulton County,7286,28.2190268183408,71.2097066604237,16.2,15.9575196414118,132,132.793778416026
Greene County,16795,11.8184238665791,29.5981442600283,5.8,5.78634424923005,154,154.814769629673
Huntingdon County,22781,20.5207476364646,52.5141948592645,11.4,11.4548945619161,361,364.221822594352
Indiana County,39031,14.7690477161032,37.4720473383686,8.9,8.90615226647943,855,854.112732429979
Jefferson County,22755,17.8424011471574,45.5198963567513,10.9,10.9067098615287,525,522.079288962572
