County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Aurora County,1384,9.62871967221878,28.1069612901937,4.9,5.63700175311635,15,14.2517278266974
Beadle County,8569,14.5235401278516,37.2163536669475,6.6,6.68814571618891,54,54.4390318819922
Bennett County,1269,11.2932635797127,39.9801659781898,4.3,6.01563323942921,3,3.02554946321052
Bon Homme County,2997,14.3165079543028,36.3997687519067,8.5,8.50423764131514,62,60.9155223725702
Brookings County,14969,13.9641879975581,35.3828357475377,8.6,8.59303256979868,356,353.25799162905
Brown County,18196,16.2860559751538,42.1819729510924,6.6,6.7355393977018,62,62.397236316512
Brule County,2591,13.8394926668912,35.8910119929997,7.5,7.61840875632862,37,35.6824940712404
Buffalo County,616,NA,43.9378424580869,NA,8.20084722725136,NA,4.70387494592687
Butte County,4906,18.0220271568383,47.8097238858598,7.8,8.1796365217388,24,24.4398354945888
Campbell County,985,11.1713585905134,30.2682466125682,5.2,5.59962054800833,7,6.71741683290653
Charles Mix County,3928,23.1877452359451,53.6228702713313,10.8,9.78402660284461,28,27.8100124476397
Clark County,1844,20.1102101433211,46.0081110665116,8.7,7.8909811086464,9,9.3764726446825
Clay County,6296,10.1519277856646,25.9226183059101,5.4,5.52615280465797,83,83.862310540892
Codington County,13352,19.9275948266385,50.1137316895252,8.9,8.7769345949498,77,77.198427342667
Corson County,1544,NA,41.5004413594571,NA,6.90032733297522,NA,6.48410621884135
Custer County,5322,50.9487985533255,126.158423253575,30.1,28.7355949922151,108,106.451571796467
Davison County,9627,10.5019795973418,26.7639674156164,5.1,5.17258665887008,84,82.944968024446
Day County,3832,18.3026362697876,44.7256405875928,7.2,7.09635330523387,11,12.8606880502725
Deuel County,2209,20.2410593548737,48.9660355522565,10.4,9.85362992711203,25,24.5573946936769
Dewey County,2033,1.98488242718282,45.212244630132,0.6,6.14938966672015,1,2.73032340853292
Douglas County,1485,4.58082883818707,31.6778037651965,1.7,4.90721863141921,3,4.31977700998923
Edmunds County,2101,15.4783891638725,40.7191333639853,6.9,7.06226076196552,12,11.0340531232515
Fall River County,4241,15.5060735121619,44.6590716970604,6.9,7.84230817392849,24,23.8693833859086
Faulk County,1201,99.1612848383736,95.0046920682878,32.2,13.1384233838362,1,1.83294960758393
Grant County,3637,12.5148652377317,31.7650605027289,7.5,7.49740662705199,78,75.49859615868
Gregory County,2545,12.9316598601792,36.6211579863454,5.8,6.42409863874406,15,14.0166952068559
Haakon County,1033,16.6689382837219,44.0290105488336,7.2,7.53213366691083,5,5.1063767634734
Hamlin County,2995,15.3559475837202,42.1358010438454,6.5,7.15531669632995,13,14.4540636389501
Hand County,1856,13.3631117203477,37.7789262425043,6,6.69020493326703,11,11.0297780524385
Hanson County,1219,7.42190664332989,30.6202094869265,3.4,5.52620041984749,8,7.90504694698066
Harding County,759,14.6892330570669,39.1391878670956,5.1,5.96489379388834,1,1.85073617222092
Hughes County,8081,13.5709646031088,34.8379051572882,6.6,6.66292360165576,71,68.9088152519008
Hutchinson County,3389,15.512055694487,38.2256355425052,8,7.75704196344847,39,38.0553035405585
Hyde County,701,8.40260390740009,36.4420139469551,4.2,6.64753668012248,7,4.75164948637933
