County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Anderson County,20632,NA,8.09605774178546,NA,0.960915915318824,NA,4.34918542480683
Andrews County,6354,NA,9.08045175019721,NA,1.23844532745846,NA,4.67654874096176
Angelina County,37250,1.63760200894586,4.96049867546319,0.4,0.575161783511689,3,3.87119821948781
Aransas County,16238,5.86425381210812,10.8876177241865,1.5,1.20560597057342,2,2.43734538817116
Archer County,4184,NA,13.729131703995,NA,1.58779008789098,NA,1.13036839268247
Armstrong County,927,NA,54.2444689842102,NA,6.89717389422438,NA,0.74443121710776
Atascosa County,18725,4.69966400900865,7.05738088281621,1.1,0.784888745177368,1,1.98565701683121
Austin County,13521,0.382997881712666,1.40821939861164,0.1,0.254102125226633,2,3.04605014798936
Bailey County,2782,NA,46.8657380472758,NA,5.79883924222086,NA,1.77864169605843
Bandera County,12058,NA,10.7982119389112,NA,1.25842683495883,NA,2.95027732512755
Bastrop County,31090,50.3422928090717,108.622285820044,14.9,12.4393958145537,13,12.5196004579288
Baylor County,2649,NA,15.1614917180264,NA,1.72000704575495,NA,0.690760593974197
Bee County,10763,NA,5.03582601948657,NA,0.608304356472308,NA,1.62643064718899
Bell County,144240,7.36392891798937,18.0762601941955,2,2.00221043895396,30,30.9480576482147
Bexar County,705038,3.89951811449271,9.1632290902998,1.1,1.10112514128684,201,198.584553166767
Blanco County,5866,0.69346241259611,18.7342725042284,0.2,2.18309940330782,2,1.96553173260459
Borden County,394,NA,27.1350569691059,NA,3.18604184076562,NA,0.163037646633966
Bosque County,9805,NA,9.0573472011217,NA,1.05502641749741,NA,2.1774630852435
Bowie County,40202,NA,13.8963928953456,NA,1.46614189945582,NA,5.02188369260353
Brazoria County,142608,3.28409451977341,7.50761876952641,0.9,0.900492388072831,32,32.851379839733
Brazos County,94330,1.9815311859018,4.19404844600963,0.6,0.603830883448953,47,45.6298033236962
Brewster County,5575,10.6902285933336,23.2441665545959,3.4,3.02567683583649,4,4.46850724204761
Briscoe County,957,NA,42.0332953989926,NA,5.20781239413798,NA,0.627873042645204
Brooks County,3237,NA,4.6765893186034,NA,0.545569960334845,NA,0.299721590643947
Brown County,19355,3.98576317999099,9.48460261626546,1,1.0686483444546,2,3.32886363560541
Burleson County,9315,NA,6.57557476625726,NA,0.868941726218693,NA,3.93374299764704
Burnet County,23943,132.881427759322,235.579722608975,37.6,25.7020151999638,7,6.775578077549
Caldwell County,15671,4.28347338644266,10.0846815628332,1.1,1.16366308596154,2,3.39640039221023
Calhoun County,12151,NA,9.09882549410172,NA,1.04086857186066,NA,2.2254870622301
Callahan County,6792,NA,10.1868894721782,NA,1.2224206369638,NA,1.82903385982128
Cameron County,154019,3.00496842812729,6.82153884203978,0.8,0.798712098167095,27,25.8609432179959
Camp County,5853,NA,13.1098674591158,NA,1.44722811108843,NA,1.0942110978411
Carson County,2793,113.85048202934,157.256994590141,36.2,19.1072950595688,2,1.76704619541759
Cass County,14727,6.66898285891125,12.1802450134647,1.6,1.28375074743331,1,1.55582939199328
Castro County,3190,12.6136464590059,40.4075479735277,3.6,4.99669551905711,1,2.02170849935361
Chambers County,16823,0.7497564380413,1.78641430003273,0.2,0.29250758483583,3,3.46000390676633
Cherokee County,21420,0.433081946649584,3.26588909461146,0.1,0.414569444919776,1,2.40157593858716
Childress County,2856,3.80133402341455,12.2556972675027,1.1,1.521118189163,1,1.20057373905277
Clay County,5335,NA,12.3198733043466,NA,1.50071416209181,NA,2.00891306474793
Cochran County,1352,NA,32.1686734342309,NA,4.05949175933869,NA,0.963117357838628
Coke County,2736,NA,18.5129276411709,NA,2.12098678685867,NA,0.721859939263749
Coleman County,5559,NA,12.5666840275789,NA,1.45121835530413,NA,1.4312390579191
Collin County,390216,5.63473301402524,13.702735332067,1.8,1.80390906638128,289,285.631059124762
Collingsworth County,1598,40.3650673647224,54.4079874935869,12.6,6.4936709435846,1,0.778231748618036
Colorado County,10801,6.05019594911611,9.01489562754431,1.5,1.03458898095879,1,1.95865928453318
Comal County,63391,4.49748639866116,10.9889749429298,1.3,1.33033336557896,22,20.8351584321065
Comanche County,7444,NA,8.92896642596792,NA,1.04915759528192,NA,1.57851683056531
Concho County,1669,NA,19.8552268840988,NA,2.21721711438763,NA,0.398523614781049
Cooke County,17076,6.77181783381106,13.4953910237887,1.6,1.50347808047593,1,3.17433607281655
Coryell County,27089,3.06458638549357,7.36219411856323,0.8,0.857387100393185,4,4.70702270831117
Cottle County,945,NA,24.3269104555918,NA,2.86187584835272,NA,0.379971245226033
Crane County,1695,NA,12.1225398374337,NA,1.57612990708411,NA,0.963924894541109
Crockett County,1887,NA,16.0833506520144,NA,1.95094940396539,NA,0.807151616449351
Crosby County,2908,NA,44.0862620029308,NA,5.38945771504602,NA,1.70774952901015
Culberson County,1175,NA,12.4261960949657,NA,1.81409322588528,NA,1.53531541814376
Dallam County,2977,14.5898711055162,29.5441229746662,4.2,3.5434196627513,1,1.40053408435488
Dallas County,1041775,39.4455318990626,101.31022230943,12.5,12.456090395537,728,725.404197317656
Dawson County,5166,9.95550211362988,22.6751577878847,3.2,2.85982792213377,4,3.27110303292343
Deaf Smith County,7061,27.022291657778,65.5585792503854,8.8,8.37137305729481,6,6.01800858190147
Delta County,2498,NA,19.8546823643897,NA,2.04646160293412,NA,0.315997653767795
Denton County,329454,7.43933517905715,18.3251179290643,2.3,2.29465295726972,192,190.5319506571
DeWitt County,9274,0.793453418311957,1.51235620612137,0.2,0.256305856676715,1,1.60382075000839
Dickens County,1287,NA,31.2339059878234,NA,3.72564893711813,NA,0.604395247558572
Dimmit County,4436,NA,4.2663687321883,NA,0.511229918506943,NA,0.483699765047522
Donley County,2161,13.338619067533,31.2325663557761,4,3.85040912649628,1,1.22975616847428
Duval County,5602,NA,4.25412870475118,NA,0.501866929710115,NA,0.559177501371014
Eastland County,10434,5.20438917141133,10.8633068834253,1.4,1.25199773767826,2,2.26309607396777
Ector County,59594,3.00945489521345,6.91480248044438,0.9,0.91554086893587,27,28.3675160466896
Edwards County,1655,NA,9.65920090545246,NA,1.14723937165608,NA,0.433848638137236
Ellis County,65940,40.3916511250027,84.4999808928262,10.8,8.86271055608522,12,12.7178794375825
El Paso County,301462,2.97868617632347,6.75847799265984,0.8,0.803669103419259,57,57.4127748343319
Erath County,18652,NA,9.00223192787993,NA,1.05112002332186,NA,3.96482030181616
