County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Beaver County,3059,291.81217194846,403.029041270035,101.2,52.9803205642027,4,3.40898289329332
Box Elder County,19357,14.7904683621554,37.3674485533812,9,8.97686332328692,440,439.636902024287
Cache County,43169,10.7095790211427,26.8694718350237,7.1,7.09842459326696,1339,1336.9248261682
Carbon County,9872,7.41707208615746,18.5962114710673,3.4,3.45720824901351,65,64.787747613249
Daggett County,1230,2.23110009262033,13.62940419376,0.8,2.09838235463736,2,2.62498665257266
Davis County,112482,7.48052640844238,18.4574924533287,4.6,4.60033288283398,2660,2659.71425741986
Duchesne County,10532,13.6792726213764,33.865976412393,5.6,5.51740500640269,38,39.165759341516
Emery County,4636,12.4648876527913,29.6589235714544,3.4,3.77628055586397,1,3.46165359948698
Garfield County,3921,36.7720519334504,75.4364256503115,11.8,9.84608215289278,3,3.90755394872414
Grand County,5725,5.12835870560301,12.8422363223968,2.6,2.68133282297583,61,59.2929084468096
Iron County,22383,6.96160355107215,17.6257501676332,3,3.0786265298591,107,105.642293414668
Juab County,3889,13.6416731963513,33.9151814978881,6.9,6.78327127295053,41,40.4934006211074
Kane County,6184,15.9767809475839,39.1292037821542,6.3,6.06991732819332,18,17.7531212797142
Millard County,5142,7.9949797323158,28.9496097820142,2.9,4.21214691982576,9,9.27409639560109
Morgan County,3725,10.5467895949984,26.0925394621991,6.6,6.51893458258119,94,93.4111977539854
Piute County,1023,NA,82.3735195127329,NA,12.2710652196674,NA,2.38251072835117
Rich County,3181,4.48214714282074,18.0502273226612,1.4,2.5577787798713,2,4.07303900472618
Salt Lake County,411472,6.93589271202112,17.0409599364604,4.7,4.69980706092743,13760,13759.9309984794
San Juan County,6064,16.9433415681941,41.4152715172075,6.5,6.24826885527043,15,14.8176774454332
Sanpete County,10863,13.6503026722863,34.3562121259784,6.4,6.36026468125001,80,79.3148982311995
Sevier County,8970,16.12269697548,41.2125129091629,8.4,8.42587341617012,108,105.643660686815
Summit County,28656,6.17410000380706,15.0803610082175,4.1,4.1060999511029,894,892.677474042049
Tooele County,23163,9.4739338402532,23.6670584308625,5.6,5.60202242113501,471,469.983275514687
Uintah County,13832,14.8168225654955,37.0154941173373,6.7,6.59329122861973,85,84.5104419655587
Utah County,186554,9.03073901585752,22.4935808249242,6.1,6.09680490385913,6171,6169.64686941641
Wasatch County,14322,14.0210111318419,35.3748928393241,9.6,9.56613354479062,496,495.624652789557
Washington County,74129,5.68571070557315,13.8262778215289,2.3,2.30728710800405,250,250.235875341795
Wayne County,1703,10.6354275032316,30.4042210654287,4.2,4.75924678883483,5,4.8870740710968
Weber County,94283,9.42786281967951,23.5481180634141,4.9,4.90400526706656,1123,1123.83911508785
