County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Addison County,17688,5.96140608290398,14.4852021504779,3.7,3.69451869346407,433,433.543893684875
Bennington County,21206,5.84541912972038,14.1876008724639,4,3.99612471205263,733,733.431776839231
Caledonia County,16518,9.759676948605,23.9382078311515,4.8,4.72945678546291,153,154.877240164191
Chittenden County,71291,3.12379141586796,7.14860445537372,2.2,2.20582590404399,2711,2708.15985662913
Essex County,5229,13.9828006052569,31.9791199997844,5.5,5.05256048395557,15,15.9520771892026
Franklin County,22835,3.88392101720948,9.37904640366523,2,2.056837397965,261,262.569049647298
Grand Isle County,5383,10.0337425510745,22.8782301771436,5,4.58660519842615,53,53.5932144110874
Lamoille County,13954,4.5499864549044,10.8145221461413,3.6,3.5881763550251,760,755.419140254687
Orange County,15611,8.54547551668659,21.0054193971308,5.6,5.54264146061094,465,463.871422624283
Orleans County,17949,8.12940100303338,20.0379840529576,3.7,3.68870399063932,114,115.188839524911
Rutland County,34637,5.45124385563493,13.1921335943144,3.6,3.60614397620314,1060,1061.22121891052
Washington County,31002,4.48407255208958,10.692966998142,3.3,3.30938618179144,1357,1354.70753123589
Windham County,30948,5.0354803524881,12.1128705330741,3.5,3.50611543094367,1127,1127.78529535155
Windsor County,35188,5.51262977208162,13.3429695695327,3.9,3.902417264699,1358,1357.79127821615
