County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Accomack County,21319,1.34980972806088,3.27605304911091,0.4,0.490437396773282,9,9.03940007827667
Albemarle County,47081,4.2706830349883,10.1375990225615,3.2,3.2080045949263,2179,2177.10170187453
Alleghany County,8010,11.4642450610907,29.3196871484137,5.2,5.2948956549587,50,50.0425851245259
Amelia County,5677,16.5476298753098,30.7522683785706,6.1,4.53753586585848,11,11.5154394511755
Amherst County,14266,7.75106317227,19.0510517555571,4.4,4.36867337294596,247,245.876976804506
Appomattox County,7424,5.86350348896192,16.1599583481726,2.7,3.03687093088865,50,50.02855770079
Arlington County,118880,4.47330725037845,10.6348152144234,2.2,2.20083044413061,1101,1101.33618157079
Augusta County,32851,10.3240114612961,25.6050343324322,6,5.94529189887444,625,625.202787471049
Bath County,3300,8.26914678441159,23.0426846548419,3.8,4.2629938876524,22,22.2910923959106
Bedford County,37040,5.08256748093129,12.3777884296707,3,3.03345690327696,749,747.18623214697
Bland County,3356,15.9183987590089,42.6249588169844,6.6,7.15570776899289,13,15.1423842693083
Botetourt County,15025,6.94401851632722,17.0303864354077,4.9,4.88309755274796,575,571.457287104395
Brunswick County,8236,14.249189722108,31.1074655453535,6.1,5.19768072523837,38,34.6148481658464
Buchanan County,11556,8.28533261252453,29.5435773653367,3,4.24735138299374,20,20.2960605824353
Buckingham County,7479,6.5109029453761,17.5787176035148,2.7,3.0032160444928,29,31.4134467592841
Campbell County,26097,8.5297695170909,20.8715271285226,4.6,4.52615711089309,365,362.976916268688
Caroline County,12417,6.64210533742965,16.404681800519,3.7,3.71415421592291,199,196.798232759014
Carroll County,16708,20.6891635855284,49.2900426214019,9.1,8.51021727854831,89,88.9163779358497
Charles City County,3391,3.55222757352552,24.5465735074133,1.1,3.25356059801985,2,3.26417875268641
Charlotte County,6348,8.7556242284659,22.461346919412,3.5,3.61582407612136,20,20.2730948152175
Chesterfield County,134267,9.73032083604584,24.124056868488,4.3,4.26117792858513,733,727.440649126686
Clarke County,6396,7.9495945875607,19.4545608963194,6.3,6.2272599102727,350,349.236397617831
Craig County,2907,12.9222592370497,29.2010416253672,5.5,5.1353389737748,13,16.0916608653367
Culpeper County,19239,6.27123251582013,15.295078741745,4.7,4.69447375148025,891,891.661311243665
Cumberland County,4760,7.27559197868403,20.5315137537039,2.8,3.27492566586834,12,14.1251153705693
Dickenson County,7563,12.3783846317033,35.7391301687554,4.3,4.96261681271694,10,10.7456173677038
Dinwiddie County,11856,9.1505970434052,23.1786268838097,3.3,3.32177452126748,20,19.1471510045688
Essex County,5894,7.96940033762121,20.4658927088519,3,3.19169198866664,13,15.1267678989233
Fairfax County,416058,4.37264479486048,10.3660219899143,2.6,2.59885471711173,8657,8655.38409276729
Fauquier County,27398,5.16381877730208,12.4863596042595,3.8,3.81483614048491,1199,1198.39202361735
Floyd County,8110,12.1891117285738,29.3889234247093,5.6,5.40535131601369,54,55.6057642505697
Fluvanna County,11162,4.81440396553523,11.5847734910305,3.3,3.31167333350768,388,385.290613706777
Franklin County,30069,5.1621688688533,12.5884490866555,3,3.03424339353031,572,569.547477850589
Frederick County,35450,7.77382861938895,19.1872751453438,6.7,6.68729519383484,2451,2448.24367683959
Giles County,8368,14.2976155975451,35.1213903417537,8.5,8.24099504464581,174,172.920054708027
Gloucester County,16857,11.3005470193969,26.702942600602,3.4,3.27405681847904,8,9.45547943174182
Goochland County,9613,8.66679340939021,20.8097919269588,4.5,4.33659016762951,114,111.893657434244
Grayson County,9256,11.4716274400399,32.6908020653787,5,5.65609411869158,47,47.303815871466
Greene County,8488,7.67227966821165,18.8467735787536,4.8,4.77581729219073,214,214.055602868366
Greensville County,4205,2.32591520312896,21.2522590156094,0.7,2.64699130214071,2,2.49355969333438
Halifax County,18207,7.80690633761509,21.5250018582386,2.9,3.23323970628803,37,38.5844766195009
Hanover County,42264,6.98461129504843,17.8727169881989,2.9,3.01390897621694,165,166.66729072703
Henrico County,139274,8.97058915961529,22.3286855568063,3.8,3.79757787476407,607,605.574189176629
Henry County,26170,8.7212917644592,21.7766247909149,3.7,3.71379283968526,115,115.586010530797
Highland County,1890,4.17999473052105,18.7400216899847,1.8,3.26445383185388,9,8.92622420661094
Isle of Wight County,16025,8.94642428033086,16.1571846243007,2.4,1.81260875562746,3,3.5200113204944
James City County,34135,10.9793116222088,25.8974345999715,4.2,3.93446016147188,83,80.3783779231426
King and Queen County,3513,17.5537707135555,29.6003587185022,6.5,4.2881116116136,7,6.27865161773832
King George County,10257,6.87752277427044,16.7151250679513,5.2,5.13836102451159,488,484.976118657527
King William County,7268,8.44568726014087,24.0962274285535,2.8,3.31620646806145,7,8.93499976186606
Lancaster County,7684,6.85974394915474,19.4335560923085,2.3,2.67981720473382,8,8.80093320629295
Lee County,11781,35.3931548557733,79.3789795947246,12.1,10.7031523998996,14,14.9600978055276
Loudoun County,139974,5.38921706188419,13.0183977396866,3.6,3.60087834118667,4457,4457.73067926376
Louisa County,17916,7.88631012847085,19.2398271843914,4.4,4.33922600410536,289,289.073424920748
Lunenburg County,5998,4.44632505813376,27.177184550949,1.4,3.60163232906919,4,5.85078279652382
Madison County,6140,8.83543317916346,21.5536788200627,5.8,5.69055859890873,184,183.718153330418
Mathews County,5764,11.1642492392358,24.9217769857244,3.4,3.04330288013044,3,3.14399601372643
Mecklenburg County,19066,12.3035782657213,29.739203827506,5,4.7981928208008,66,65.060283436257
Middlesex County,7369,6.85723198690914,23.9686465174424,2.1,3.01812151231903,4,4.80756087687533
Montgomery County,41053,6.8316072928677,16.8844894263759,4.2,4.22579036731118,970,967.989952119152
Nelson County,10240,8.85012457943929,21.6823080313124,4.6,4.53447447836867,122,122.143709758584
New Kent County,8956,16.1775731758209,31.6435574981385,5.7,4.44774485192839,13,13.3157295805075
Northampton County,7440,2.96848294855394,5.44927138605909,1,0.828866964517776,8,7.32924333762799
Northumberland County,9364,13.4177767006507,27.3481021391385,4.8,3.9307338874077,15,15.3893427419972
Nottoway County,6821,7.91304676885585,25.2547867774414,2.7,3.509606484824,8,9.06738927508269
Orange County,15382,5.93724624270503,14.4953632116875,3.9,3.91509086070213,462,462.248240831976
Page County,11814,9.038935913172,22.6707640327859,4.7,4.74605228192585,141,143.05901623209
Patrick County,10266,14.6376024980733,34.8270018103266,6.4,6.01855134771787,53,53.255633998623
Pittsylvania County,31659,9.10173185557881,22.3731900994456,4.3,4.24373330689118,242,241.362809190999
Powhatan County,11274,7.05932407844445,18.920685359843,3,3.24101144906796,50,49.4290315577139
Prince Edward County,9501,9.34307718639778,22.2698072422849,4.1,3.89365997622168,50,47.5116380737325
Prince George County,12605,8.25970544510645,22.0221351460348,2.7,2.90463529938105,11,11.407985077914
Prince William County,151729,5.82763372494766,14.1441121028739,3.8,3.79654913552276,4441,4439.27642465794
Pulaski County,17302,12.3077382928378,30.9967314084229,6.8,6.78443083135628,268,266.618761929412
Rappahannock County,3998,7.32561111312846,17.9546153141369,5,4.96904026177708,137,136.758670835725
Richmond County,3989,5.77385830370939,14.6849969024701,2.7,2.77791897922114,29,26.853883545818
Roanoke County,41096,4.27799074199358,10.1876894944484,3,3.01406611060955,1541,1537.7016244401
Rockbridge County,11532,14.6364984113718,33.8119009191248,7.3,6.6685864294782,114,113.813728996089
Rockingham County,36163,7.01854425908869,17.2226755035875,5.3,5.28834327327942,1714,1711.67487604704
Russell County,13536,27.0983663488974,59.5561781954257,11.1,9.5620399270416,49,49.4230911473248
Scott County,11966,29.2984068770206,69.9338417189306,13.3,12.3352716283489,75,73.7379462017896
Shenandoah County,21335,7.64732337674286,18.999919102685,4.4,4.42318068294922,390,390.33886271696
Smyth County,15352,18.2374606975057,45.3599914708289,8.7,8.50897083128966,123,122.977638693794
Southampton County,7673,3.94232872279043,15.3032170562252,1.1,1.79316759143146,2,2.36509227753258
Spotsylvania County,49599,5.40803488903829,13.065077642768,3.8,3.79961264181144,1872,1869.84437726884
Stafford County,51376,5.84276372135994,14.1718308890567,4.6,4.59148860849338,2758,2755.85893299451
Surry County,3611,NA,19.1478319384756,NA,2.3139916721616,NA,1.66189397986131
Sussex County,4837,0.368457608738846,20.4846654595285,0.1,2.39736928828692,1,1.79566664039599
Tazewell County,20708,10.8226903418531,27.3871093750262,6.2,6.23864404929679,372,368.265803352349
Warren County,16606,7.30639119508286,18.0070776958578,4.9,4.90049812459817,536,536.543214025567
Washington County,26018,13.9151644058887,35.3587782118762,7.6,7.62043747477094,384,381.487631035243
Westmoreland County,11060,4.82069090992121,13.1950173689327,2.1,2.37477214178287,56,55.8019230008973
Wise County,17916,10.874550291939,31.6616217198376,4.3,4.94748817122149,53,51.8978682238449
Wythe County,14422,22.2932202692064,54.4835441412037,10.7,10.2171908241688,119,118.199269782847
York County,28522,8.66166599067822,19.652759090225,2.8,2.56783055342644,23,22.9249223178303
Alexandria city,76415,3.85967109323724,9.07018065897015,1.7,1.70658374126132,410,410.579090552115
Bristol city,8709,11.01173851128,27.9146199268771,5.8,5.8476920556667,110,109.517301534714
Buena Vista city,2851,28.7088909502472,61.7312756611779,11,9.33118238240147,7,7.31897247109369
Charlottesville city,20886,3.77646090218152,8.82932192306868,2.7,2.70154709455458,834,832.557339134641
Chesapeake city,92600,2.99982827799211,7.15359474210877,0.9,0.938376507837002,43,41.5298332794226
Colonial Heights city,7705,11.2584133079123,26.8134822071275,3.9,3.71249615496867,10,9.89932827442482
Covington city,2972,29.1278274079014,57.7331890561586,10.5,8.25425282654179,5,5.22542082578666
Danville city,21932,9.81835004815585,24.5177060455415,4,4.00145432207901,77,77.3076682154465
Emporia city,2601,9.65374210524887,19.6570572699445,3.1,2.56255436891396,2,1.88152334935403
Fairfax city,9083,4.27307516886288,10.138840367784,2.3,2.30620067057899,126,125.852653733391
Falls Church city,6035,4.46783803693751,10.5624023702508,2.4,2.39004392835471,83,82.6363410989696
Franklin city,3839,2.95486930480808,11.9525986980596,0.9,1.47898313782187,2,1.65642401433256
Fredericksburg city,12098,4.52604693733084,10.8377092106099,3,3.01534692100594,375,374.59586812304
Galax city,3175,8.31194353074135,25.550812213134,3.7,4.52883300324561,18,17.2859846697228
Hampton city,60129,3.5003303802402,10.526693804501,1,1.2702335871742,19,19.6243090047392
Harrisonburg city,18353,6.2423770173161,15.2527895637402,4.2,4.20630270336408,599,597.72386947523
Hopewell city,10404,10.1270892991245,24.7877208116746,3.6,3.53455111908505,16,16.3030095829037
Lexington city,2544,4.18080768304424,11.4148666944019,2.2,2.50827806925122,32,31.406804761249
Lynchburg city,32533,5.72435197944746,13.9206307198162,3.5,3.50493884967976,753,752.762372361362
Manassas city,13934,5.74985263149437,14.0132708179463,2.9,2.91662662053317,145,145.037067084807
Manassas Park city,4865,5.4939428062376,14.155142034621,2.4,2.56177273423628,25,25.8403446803048
Martinsville city,7031,6.51980884256091,16.473023253263,2.8,2.88381332511727,33,32.6734949281491
Newport News city,77926,6.14621003297456,15.9887574188479,1.8,1.92567313223537,30,30.6948026553801
Norfolk city,98455,2.50393193311602,5.88858465157655,0.8,0.843389403486269,73,70.7088040718245
Norton city,1954,2.07356364403739,18.6990433134777,0.8,2.82360217479731,5,4.27958357746377
Petersburg city,16309,1.68366464635617,25.5597483125833,0.5,3.04404113722289,7,7.23844446576546
Poquoson city,4854,NA,14.2943345237487,NA,1.80815482307367,NA,2.55881080107802
Portsmouth city,40907,6.03507468915727,10.4753251270958,1.4,1.09501521645358,2,3.85666744935804
Radford city,6521,9.11544062257482,22.7990878791266,5,5.01814218737028,98,97.6445968070147
Richmond city,101245,8.01279584378441,19.9219181162321,3.5,3.5099961253201,520,519.106749464956
Roanoke city,46942,5.50189271057057,13.3139174824827,3.3,3.30230519922448,1010,1010.56402484336
Salem city,10835,6.47169781835985,15.7280716911728,4.1,4.07289167401805,286,286.198464054103
Staunton city,11851,9.42351361685778,23.5253185496746,6.1,6.10011509334011,338,337.763926101643
Suffolk city,37955,5.04438868885348,11.9060511565704,1.3,1.30143668332066,5,5.82919861653953
Virginia Beach city,186464,3.96862088120133,9.02883522746387,1.1,1.07054845401975,46,46.2730581975956
Waynesboro city,10034,8.03332471907571,19.948323117581,4.7,4.70839641215001,196,195.064810817412
Williamsburg city,5310,6.1158523003216,16.1950145683479,2.5,2.68210371127517,19,17.935378758419
Winchester city,12094,6.80802568100411,16.6926012776076,5.7,5.70266694867805,773,773.48303617495
