County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Barbour County,7913,8.73939575100764,22.8791804817867,3.1,3.31953028862573,12,13.760106838356
Berkeley County,50333,10.0541705831063,25.1521895094298,8.1,8.09931523288,2888,2887.73499536743
Boone County,11210,4.16585984435493,13.344024738115,1.3,1.74021667190709,7,7.46175381154783
Braxton County,7412,4.7442820798187,13.7484289352499,1.7,2.02088567398327,12,11.6609739483821
Brooke County,10751,11.3804050985909,28.6832181521814,6.2,6.20983777553798,157,156.872543244593
Cabell County,46301,6.51097815859944,15.9203260664707,2.6,2.59587780184316,145,143.376239150186
Calhoun County,4015,6.00325111657347,14.506257163045,2,2.04771319739022,4,4.87863470928285
Clay County,4639,0.366642437251876,18.9680849473679,0.1,2.32045413353165,1,2.39687688541339
Doddridge County,3905,1.79581051910666,17.0092803526373,0.5,2.26429664001969,1,3.47233673624039
Fayette County,21422,2.42386401544853,13.2801603258191,0.8,1.79622248041096,20,18.9207310326863
Gilmer County,3604,6.10349802922469,14.2910698045876,2.3,2.19943484019685,8,7.63386464211602
Grant County,6775,3.07052435784762,7.51862870338331,1.9,2.01110632308685,164,159.765955495025
Greenbrier County,19366,22.8651053086746,55.3839767177408,11.2,10.5629822069204,176,171.893398128001
Hampshire County,14107,14.7077874512558,36.4090530756872,6.7,6.56021722861768,90,90.6910712030657
Hancock County,14304,12.8094712307944,32.3861497946027,7.8,7.81161973922163,326,325.307080359137
Hardy County,8404,6.38060950498607,16.1966509815712,2.9,3.01716984140464,53,53.2835387108891
Harrison County,31812,9.1460724057013,22.5023920473219,4.1,4.04296027865143,187,184.791115459448
Jackson County,13411,8.2417497623998,19.7363131383827,3,2.91824653917068,24,24.8615339466189
Jefferson County,23569,11.4944250398538,28.9166245463002,8.1,8.10395112427422,898,896.686371938491
Kanawha County,92165,8.74435485215741,21.4343625572734,3.4,3.34638958951957,247,244.108045857862
Lewis County,7963,5.33263264738819,13.9074097373882,2.1,2.24445840219176,23,22.3830094852365
Lincoln County,9964,6.50549027415374,15.7594124124057,2.2,2.18564265090348,11,11.0443363564999
Logan County,16867,5.89103160388362,14.4675180469478,1.8,1.8208636332233,9,8.97407464545288
McDowell County,11175,7.14225255416862,17.140850914608,2,2.02605636325196,3,3.91987976387936
Marion County,26391,7.93285747937169,19.5506608785866,3.9,3.88262038963942,244,243.099925578417
Marshall County,15730,8.42190652821574,20.8117147663373,4.7,4.681339258204,254,253.833770816348
Mason County,13096,10.21086406793,23.8270615753183,3.4,3.19908427918632,13,13.6830533720721
Mercer County,29986,8.40683035377241,20.5122196459896,3.4,3.3302040623467,101,98.5221673021439
Mineral County,13149,12.7460045808993,31.5119053671406,6.1,5.97584510831365,107,106.521484360342
Mingo County,12896,4.09378202415,13.4246403568545,1.2,1.65147861587473,5,5.58029767664256
Monongalia County,45210,4.43751611882369,10.5615086751361,2.8,2.80476358203596,1176,1173.54147066537
Monroe County,7652,10.5140098250078,27.4119918733759,4,4.16939142755745,18,18.2162710749963
Morgan County,10032,21.6995644442178,55.1763185837927,13.4,13.3225752807182,241,240.611579721155
Nicholas County,13166,11.721490943952,26.5053721992114,3.9,3.56912662709261,13,13.9527576972722
Ohio County,20835,7.49436015757918,18.4881078549811,5.4,5.39255119400656,853,851.722502470578
Pendleton County,5235,9.69491458295103,23.1213185438644,4.9,4.65880458303081,55,53.8605145469145
Pleasants County,3413,10.7646252328352,24.2175021501417,5,4.50391925137265,24,23.7522584577622
Pocahontas County,8936,5.49404635490326,17.9868730578375,2,2.67428122355908,16,16.7502759760125
Preston County,15164,12.3859270908176,30.2966194696471,6.4,6.20391416786132,176,174.924349457844
Putnam County,24315,8.00961279080819,19.6173899023538,3,2.96797239872634,52,51.3162096207219
Raleigh County,36148,6.16315346474255,15.5166866689358,2.1,2.16684429079015,42,42.1452460976666
Randolph County,14253,10.0144909119917,23.7587954369669,3.8,3.62576143745227,33,34.1843943472055
Ritchie County,5959,5.03980176064296,12.9638248801397,2,2.13883967133999,18,18.2576734871511
Roane County,7435,7.5865748761073,17.9022071685101,3,2.8429141043954,22,20.7542981097614
Summers County,7713,7.32005659522847,19.8468208831415,2.7,2.96518888816668,15,15.0140474081281
Taylor County,7510,7.58556786778964,19.3312249958223,3.2,3.31726040441827,32,32.5497693632937
Tucker County,5350,7.17193570306198,18.2364037580389,2.9,3.01771878187446,18,18.6838377331446
Tyler County,5036,5.82664772813098,14.4493739198678,2.7,2.73617119350059,35,33.6289646958302
Upshur County,11466,8.82984739443498,21.7183260560829,3.4,3.36784563060635,29,28.9231847322556
Wayne County,19340,6.91771659822655,16.6024263891356,2.3,2.24602700482145,19,18.8772402403877
Webster County,5452,8.03032621560163,20.5486478880552,3.1,3.19520864211453,14,13.7934314293297
Wetzel County,8201,7.85330298746377,19.0406886066148,3.6,3.52987218716981,54,53.4936288114427
Wirt County,3336,3.66819047696326,11.5872970492921,1.4,1.86719028017009,8,8.28701015411005
Wood County,40283,3.95633574513212,9.29976279564486,2.4,2.40250783931474,905,901.129420492942
Wyoming County,10881,9.61077840006717,18.7681608799582,2.7,2.23910812067984,3,4.29767706599875
