County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Adams County,17887,6.76003204902002,17.3169034504715,3.1,3.24731612999612,118,120.98357345491
Ashland County,9645,3.27478325023256,7.77357393956433,2.1,2.15956735866691,266,263.3897318289
Barron County,24407,8.20638936603329,20.338185293075,4.7,4.69855841589725,438,438.140977920556
Bayfield County,13512,6.70448972933892,16.3018583904208,3.9,3.86447417109975,258,256.587919378075
Brown County,111216,9.6970076303655,24.2486046178702,5.5,5.5056441353497,1919,1918.57417597858
Buffalo County,6854,10.3304209366476,25.7203583772212,5.6,5.60133504195325,98,99.1759218495681
Burnett County,15804,7.26220383014813,18.0331189619166,3.5,3.53505518668923,133,134.356834083456
Calumet County,21138,9.23263092037999,23.0310405278281,5.5,5.50274444210114,443,442.663818074563
Chippewa County,28860,11.0546500492133,27.568393867928,7.3,7.2514606599664,883,880.956830417485
Clark County,15254,9.09535088531809,23.4452899996145,4.3,4.47618409343592,117,121.338331705654
Columbia County,27036,9.67321475100639,24.0990203156481,5.2,5.1866916774873,373,373.056939964929
Crawford County,9026,13.4855901682672,33.9946981996495,7.7,7.68577889626047,160,160.413398177886
Dane County,239841,7.78376277380468,19.2688230776692,4.8,4.80574510649473,5732,5733.03387468586
Dodge County,38072,12.7888630297518,32.0881572848416,8.1,8.06027195840751,1004,1003.5576676446
Door County,25187,8.75986271235374,21.8116806998172,5.9,5.90370661973475,825,824.791416469227
Douglas County,23291,6.2110860820298,15.2775488218321,3.1,3.12280894212855,231,230.641195716504
Dunn County,18671,9.39613646679473,23.3620256978154,5.6,5.59026833573625,392,392.829103376563
Eau Claire County,44775,7.91602921294974,19.6447020220243,5.2,5.20869199912344,1345,1342.66163185483
Florence County,4931,12.3937888898647,30.738650694012,8.4,8.24241652238668,165,163.118445814568
Fond du Lac County,45556,10.5575934335496,26.4837766111266,6.7,6.69893161921977,1210,1210.37019891242
Forest County,9250,10.90558058346,27.7684713763884,5.3,5.41604961296643,81,84.0663256122403
Grant County,22237,12.1945907353284,30.7379729957674,7.9,7.9005799772612,636,635.091008928577
Green County,16145,16.5702530837514,41.6390608355673,9.8,9.6923363319009,329,329.177280438806
Green Lake County,10784,16.3134658007031,39.393956980064,8.8,8.38229224700179,151,151.75390642657
Iowa County,10997,12.2577878912213,30.6997496456159,8.6,8.5323854860006,413,410.32527256657
Iron County,6131,8.4406999003444,20.5723167981106,3.9,3.86563562914383,42,44.0358654567429
Jackson County,9998,11.2277184045102,27.2331845027121,5.9,5.72746163638056,125,127.708790349611
Jefferson County,36162,7.79515268594496,19.327043380001,5.2,5.20941064931243,1146,1144.71318778706
Juneau County,15361,11.6922430264619,28.67079733626,5.4,5.31769637504302,105,109.370071934657
Kenosha County,70872,7.31635054515954,18.0497058647209,4.7,4.70428770997313,1967,1965.92816028494
Kewaunee County,9490,13.7998565992872,34.2990557838269,7.9,7.7697808185478,170,169.752551307175
La Crosse County,51026,5.49554876871775,13.3321567955637,4.2,4.20828536239126,2508,2504.43352023256
Lafayette County,7339,14.3192117093081,36.2664119406158,7.9,7.931438372564,113,114.197462563732
Langlade County,12632,20.8859177963402,51.3905390872888,11.9,11.4533318594689,222,220.545923519006
Lincoln County,17335,9.04945812343585,22.753776551987,5.3,5.34805268761949,340,340.434017404684
Manitowoc County,37657,7.39745821631373,18.3068250976162,4.5,4.51206472619727,855,854.206404497855
Marathon County,59940,15.1121598764732,38.2094731760892,11.6,11.5597202224307,2985,2979.76405720482
Marinette County,30983,7.02610282560178,17.5323740182937,3.7,3.75402181569162,391,391.992009703308
Marquette County,10032,4.36444274582057,11.1058663061259,2.3,2.45400690962931,127,126.558634256157
Menominee County,2302,31.5290758333869,63.9409214872153,10.3,9.53563589376105,2,5.5139085092761
Milwaukee County,420162,8.42629497981651,20.9237050420005,4.8,4.80265219313253,7378,7381.49875557031
Monroe County,20098,6.38172643610141,15.7070445939519,4.1,4.12462010223464,558,557.560345387432
Oconto County,24468,18.8950561357993,47.3151110938115,9.9,9.72393836335005,302,300.88814561612
Oneida County,31379,6.02697814184789,14.7805007590992,4,4.0235459851171,977,975.65997214796
Outagamie County,78201,10.2579466382601,25.6983126829684,6,6.0026979457497,1526,1525.88824218907
Ozaukee County,37989,6.57510570339918,16.1228317385911,4.7,4.70402400140376,1516,1513.25827909506
Pepin County,3698,8.04936908601075,19.9979939004548,5.3,5.31437665948248,112,111.199194627589
Pierce County,16802,7.84966038542491,19.4224706921274,5.3,5.30122130134381,555,554.720862153432
Polk County,24967,6.3215735429497,15.4803693645533,4.1,4.10692187334721,717,715.47424031766
Portage County,31240,12.7294360401277,31.9448455251218,7.4,7.36037586342803,595,594.923319096712
Price County,11454,9.47296704340723,22.9511090647186,5.6,5.44076839681379,233,231.995037666685
Racine County,83140,8.45820666164563,20.9993076906962,5.8,5.79763882972859,2894,2893.53582327377
Richland County,9062,12.2601034689007,30.8792845709817,7.1,7.11002511353605,170,170.950697982534
Rock County,69436,10.2642540877485,25.7095368855775,6.4,6.40355539296089,1729,1728.52309600735
Rusk County,9308,7.40858999568753,18.3227374586592,5,4.99468857387848,307,303.224222447655
St. Croix County,36822,6.48199947091846,15.853545615742,5.1,5.09531120083427,1973,1971.93714512091
Sauk County,30744,8.09557966530733,20.1577437668777,5,5.02162430556182,739,737.64434726467
Sawyer County,16671,7.01267040704005,17.478589604875,3.3,3.36553872733864,125,129.103466357423
Shawano County,20989,16.7606827372529,42.7917368644792,7.8,7.87359228560203,149,152.864952504299
Sheboygan County,51436,8.26934861881712,20.5872263883597,4.4,4.42071047685194,679,680.97130287772
Taylor County,10789,9.31137014588316,24.2635775969963,4.5,4.73525120344838,92,95.818464131256
Trempealeau County,13328,9.7382374479201,24.206236915009,5.9,5.87116651430789,298,297.676584998099
Vernon County,14268,10.6005735272841,26.3612089127519,6.9,6.83452114625874,415,413.398399376437
Vilas County,26371,7.20769828552814,17.7874791391816,4.2,4.2053258422829,507,505.410632463994
Walworth County,52946,11.2368368184073,28.1844327032816,7.2,7.19036885806557,1456,1457.05251452734
Washburn County,13425,7.81584434827758,19.27545508662,3.9,3.9014069365757,133,134.400528423448
Washington County,57523,9.32335833577363,23.2480615295767,7.1,7.09577292143869,2797,2793.45071964765
Waukesha County,167953,9.1493490290024,22.8084029427565,6.4,6.4014594236764,6246,6246.78232247955
Waupaca County,26005,13.8488359559641,34.8399872140455,9.1,9.04301472716557,782,778.556119932663
Waushara County,15195,7.1383176585828,18.0789001392467,3.8,3.90660693228133,201,201.131665430605
Winnebago County,76303,9.62823026338091,24.0491040036184,6.2,6.19810048814684,2136,2133.19004337091
Wood County,35488,6.37502945477473,15.6881335081975,4.1,4.11979495884531,989,985.288670129521
